,source,target,coef_mean,coef_abs,p,-logp
0,dmrta2,adamts10,-9.643821e-05,9.643821e-05,0.4827152404400693,0.3163089892804654
1,fli1b,adamts10,-0.00080619514,0.00080619514,0.008118951032656313,2.090500077921015
2,ebf3a,adamts10,-0.0026936445,0.0026936445,1.891807692481898e-08,7.7231230129335495
3,tfap2a,adamts10,0.0005987438,0.0005987438,0.07602355086069337,1.1190518495028388
4,mafbb,adamts10,-0.0002159981,0.0002159981,0.2352226517224804,0.628520858427567
5,ebf3b,adamts10,0.0005341765,0.0005341765,1.4869326787950308e-08,7.827708693811391
6,foxg1a,adamts10,-0.0006466414,0.0006466414,0.004143661866427539,2.38261569137483
7,spi1b,adamts10,-0.0027386304,0.0027386304,2.1718277395907143e-12,11.663174624162382
8,esr2a,adamts10,-0.0015239805,0.0015239805,9.253051887394102e-08,7.033715002476894
9,ebf1b,adamts10,-0.0006648109,0.0006648109,9.142426836797007e-06,5.0389385064618875
10,bcl11ab,adamts10,0.00037785806,0.00037785806,0.12591403691232048,0.8999258519910164
11,mef2b,adamts10,-6.4828295e-05,6.4828295e-05,0.1626374793496852,0.788779365266511
12,tbx16,adamts10,-6.8336674e-05,6.8336674e-05,0.7003686487800937,0.15467330286064548
13,foxa2,adamts10,-0.00083613896,0.00083613896,2.3681614119899177e-08,7.6255886997753475
14,foxn3,adamts10,0.0026579031,0.0026579031,6.898997907756913e-09,8.161213986760865
15,nhlh2,adamts10,0.0002440128,0.0002440128,0.058490268492669806,1.2329163850545732
16,ebf2,adamts10,0.005611534,0.005611534,4.1301324912754956e-13,12.384036016308027
17,tbx4,adamts10,0.00063561695,0.00063561695,8.030165708052308e-10,9.095275492660274
18,elk3,adamts10,0.0018740497,0.0018740497,6.431806835301279e-08,7.1916670071113575
19,myod1,adamts10,0.0036399562,0.0036399562,6.541689183362097e-08,7.1843100944448315
20,etv4,adamts10,0.0019457515,0.0019457515,5.883173632438535e-11,10.230388333917983
21,foxp1b,adamts10,-0.0005927529,0.0005927529,0.16136134618049203,0.7922004916153169
22,tbx20,adamts10,-0.000406233,0.000406233,0.08989142492390981,1.0462817352506475
23,mef2aa,adamts10,0.0003135838,0.0003135838,0.03645261700921426,1.4382712873223542
24,foxi3b,adamts10,0.0006774807,0.0006774807,8.39596735909168e-07,6.075929258488151
25,dmrt2a,adamts10,0.0036970896,0.0036970896,1.3648708760093088e-07,6.864908433230687
26,tbx5a,adamts10,-0.0007325251,0.0007325251,0.0004168494299370116,3.380020788086533
27,mef2ca,adamts10,0.0020922662,0.0020922662,2.683859192340089e-05,4.571240273001496
28,foxi3a,adamts10,0.0006217538,0.0006217538,4.047919677379153e-07,6.392768113761415
29,dmrt2b,adamts10,-0.0005318168,0.0005318168,8.076685590345541e-06,5.092766823028749
30,myog,adamts10,0.002517445,0.002517445,7.246698477354141e-06,5.139859808551395
31,tbx2b,adamts10,-0.0004840926,0.0004840926,0.017550701711704326,1.7557055149002225
32,mef2d,adamts10,0.004962589,0.004962589,3.02598485226118e-12,11.519133250336576
33,fli1a,adamts10,0.0051923227,0.0051923227,2.820948340592799e-12,11.549604866911245
34,tal1,adamts10,0.0014618121,0.0014618121,0.00012781430748430082,3.8934205286995955
35,foxi2,adamts10,2.3441435e-05,2.3441435e-05,0.8737293699361951,0.058623065470748414
36,etv1,adamts10,0.0016621008,0.0016621008,3.337674999174415e-07,6.476555954336485
37,tfap2e,adamts10,-3.538604e-05,3.538604e-05,0.5778864203431655,0.23815751082747716
38,nr2e3,adamts10,-0.00034335762,0.00034335762,7.659872979421347e-06,5.115778432037602
39,tcf21,adamts10,0.0005855278,0.0005855278,3.2225388346728246e-05,4.49180184027945
40,etv2,adamts10,0.001472908,0.001472908,1.056133691801542e-05,4.976281102695545
41,im:7142702,adamts10,5.825096e-05,5.825096e-05,0.5692975351361115,0.24466069653115896
42,rxrab,adamts10,0.0006352143,0.0006352143,0.018282914247697662,1.7379545777040102
43,tfap2c,adamts10,0.00075806596,0.00075806596,4.2440567374448896e-05,4.372218818787067
44,mef2cb,adamts10,0.0033338503,0.0033338503,8.415442259534626e-08,7.074923055466127
45,foxd5,adamts10,0.0012151538,0.0012151538,4.298736365221886e-07,6.366659188667642
46,myf5,adamts10,-0.0009932873,0.0009932873,3.8988592449566877e-05,4.40906244325316
47,ascl1a,adamts10,-0.0007102536,0.0007102536,0.0004315666505743815,3.364952122912003
48,tbx2a,adamts10,-0.0011694607,0.0011694607,9.725415854163812e-10,9.012091819379394
49,bhlha15,adamts10,0.00031465857,0.00031465857,2.060996870465864e-07,6.685922667677574
50,tbx3a,adamts10,-0.00047364805,0.00047364805,0.02273454909945082,1.6433136548550593
51,irf8,adamts10,0.0003195744,0.0003195744,5.962780012447245e-05,4.224551212982387
52,bcl11aa,adamts10,0.0004297813,0.0004297813,0.001620453315182266,2.7903634763570326
53,foxd3,adamts10,0.0003044543,0.0003044543,0.02339345654531353,1.6309056034303784
54,foxj1a,adamts10,0.00011386351,0.00011386351,0.5384620930219788,0.26884486501380905
55,rxraa,adamts10,0.0013437738,0.0013437738,6.745177550587968e-05,4.1710066140831445
56,foxd1,adamts10,-0.001046438,0.001046438,2.4762688214670188e-09,8.606202210482895
57,mafba,adamts10,-0.0022511499,0.0022511499,9.431767176436195e-12,11.025406928357944
58,esrrga,adamts10,3.686663e-05,3.686663e-05,0.862603676579662,0.06418869514107951
59,tfap2b,adamts10,-0.00031681184,0.00031681184,0.0009699857277632154,3.0132346558361065
60,smad3a,adamts17,0.00011011662,0.00011011662,0.5273362311625122,0.2779123890072513
61,uncx4.1,adamts17,-0.0005690929,0.0005690929,0.002871608663515001,2.5418747450899186
62,esr2a,adamts17,-1.2984237e-05,1.2984237e-05,0.8991552785690947,0.04616530181244883
63,meis3,adamts17,0.0007960667,0.0007960667,9.326182441093962e-05,4.03029609302206
64,lhx2b,adamts17,-0.00039302118,0.00039302118,0.050891549886924986,1.2933543226167947
65,gfi1b,adamts17,0.00066021236,0.00066021236,0.00028980236362231214,3.5378980767532453
66,dlx5a,adamts17,-0.000722902,0.000722902,1.3373861405995786e-05,4.873743181728547
67,egr3,adamts17,0.00015201251,0.00015201251,0.034319957255467076,1.4644532617244492
68,barx1,adamts17,-0.0004277775,0.0004277775,9.32033777588927e-05,4.030568348209683
69,rorb,adamts17,-0.00025467473,0.00025467473,0.09899898112888776,1.004369275022438
70,gata2a,adamts17,0.00025127726,0.00025127726,0.1710349878311924,0.7669150389193832
71,otpa,adamts17,-0.00041060144,0.00041060144,0.0004436988155692826,3.35291173060824
72,etv4,adamts17,0.001323802,0.001323802,2.462667667813477e-08,7.608594191397947
