	celltype1	manual_annotation	leiden_v1_r0.5	leiden_v2_r0.7
ppp1r3aa	hatching_gland	unassigned	5	4
si:dkey-239j18.2	hatching_gland	unassigned	5	4
zbtb46	hatching_gland	unassigned	5	4
sipa1l2	somites	unassigned	0	0
myo9aa	muscle	unassigned	0	0
pde4ba	endocrine_pancreas	unassigned	3	5
ppp1r9a	enteric_neurons	unassigned	2	6
rpl24	fast_muscle	unassigned	0	11
si:dkey-269i1.4	hatching_gland	unassigned	5	4
myh7	heart_myocardium	unassigned	2	8
trabd2b	heart_myocardium	unassigned	3	5
clec14a	hematopoietic_vasculature	unassigned	6	7
ngef	notochord	unassigned	7	9
akt3a	somites	unassigned	0	3
hspg2	notochord	unassigned	0	0
plod2	notochord	unassigned	0	2
plekha5	enteric_neurons	unassigned	0	0
ablim3	fast_muscle	unassigned	4	3
st8sia5	enteric_neurons	unassigned	2	6
rims2b	neural_telencephalon	unassigned	8	10
FAT4	lateral_plate_mesoderm	unassigned	1	1
adamts6	lateral_plate_mesoderm	unassigned	3	5
bco1l	NMPs	left_bottom	9	12
zgc:92140	differentiating_neurons	unassigned	0	0
hemgn	endocrine_pancreas	unassigned	6	7
hmga1a	neural_telencephalon	unassigned	0	11
angptl2a	somites	unassigned	4	3
mnx2b	endoderm	unassigned	3	10
cyp46a1.1	hemangioblasts	unassigned	6	7
RALGDS	hemangioblasts	unassigned	6	7
shdb	tail_bud	unassigned	0	2
ndst3	hindbrain	unassigned	1	1
CU639469.1	notochord	unassigned	0	0
mt-co2	optic_cup	unassigned	0	11
urp1	hematopoietic_vasculature	unassigned	2	8
rasgef1ba	somites	unassigned	0	0
kcnab1a	neural_crest	unassigned	0	0
ism2a	endocrine_pancreas	unassigned	3	10
slc25a21	hatching_gland	unassigned	0	0
rab11fip4a	optic_cup	unassigned	1	1
usp43b	hatching_gland	unassigned	5	4
ehbp1	lateral_plate_mesoderm	unassigned	0	0
olfml2a	muscle	unassigned	0	2
fut8a	hematopoietic_vasculature	unassigned	0	0
si:ch73-215f7.1	neural_optic	unassigned	1	1
klhl43	muscle	unassigned	4	3
col12a1b	pharyngeal_arches	unassigned	3	5
cplx2l	differentiating_neurons	unassigned	2	6
emilin3a	notochord	unassigned	7	9
sst1.2	neural_telencephalon	unassigned	2	8
nol4la	neural_telencephalon	unassigned	2	6
srgn	hematopoietic_vasculature	unassigned	2	8
hjv	notochord	unassigned	7	9
prdm1a	hatching_gland	unassigned	0	4
rem1	PSM	unassigned	8	2
iqca1	spinal_cord	unassigned	1	1
ccdc120	somites	unassigned	0	2
mdka	neural_optic	unassigned	1	1
cux2b	endocrine_pancreas	unassigned	1	1
si:ch73-335l21.1	PSM	unassigned	0	2
klhl31	muscle	unassigned	4	3
hoxa11a	NMPs	unassigned	0	2
mrc1a	hematopoietic_vasculature	unassigned	6	7
zdhhc8b	muscle	unassigned	0	2
her4.1	spinal_cord	unassigned	2	8
gli2a	fast_muscle	unassigned	0	0
fbxw7	NMPs	unassigned	0	0
elf1	endoderm	unassigned	0	0
smtnl1	muscle	unassigned	4	3
fadd	notochord	unassigned	7	9
hist1h2a11.4	hindbrain	right_bottom	3	10
nav3	endoderm	unassigned	3	5
dclk2a	optic_cup	unassigned	0	0
col8a1a	notochord	unassigned	7	9
ext1a	optic_cup	unassigned	0	0
rnf220a	differentiating_neurons	unassigned	1	1
NAV1	heart_myocardium	unassigned	0	0
iqsec1b	hematopoietic_vasculature	unassigned	0	0
mllt11	enteric_neurons	unassigned	2	6
slc38a5a	hatching_gland	unassigned	5	4
adgrl1a	neurons	unassigned	1	1
dapk1	hatching_gland	unassigned	0	0
myl7	heart_myocardium	unassigned	2	8
cacna2d3	midbrain_hindbrain_boundary	unassigned	1	1
ftr11	pharyngeal_arches	unassigned	3	10
smtnl	heart_myocardium	unassigned	0	0
cux1a	pronephros	unassigned	0	0
irx4b	neural_posterior	unassigned	1	1
auts2b	neural_optic	unassigned	1	1
zgc:66433	hemangioblasts	unassigned	0	0
pax5	midbrain_hindbrain_boundary	unassigned	1	1
kcnq5b	fast_muscle	unassigned	4	3
blvrb	hemangioblasts	unassigned	2	8
ripor1	heart_myocardium	unassigned	0	0
si:ch211-227m13.1	hemangioblasts	unassigned	6	7
wnt3	neural	unassigned	1	1
CR626874.1	pronephros	unassigned	0	0
krt96	epidermis	unassigned	0	2
dnah2	spinal_cord	unassigned	0	2
col11a1a	notochord	unassigned	3	5
chrng	muscle	unassigned	4	3
tead1a	hindbrain	unassigned	0	0
SLC6A13	pharyngeal_arches	unassigned	4	3
nrg1	lateral_plate_mesoderm	unassigned	0	0
reep6	hatching_gland	unassigned	5	4
nexn	muscle	unassigned	4	3
aspdh	midbrain_hindbrain_boundary	left_bottom	9	12
artnb	hatching_gland	unassigned	5	4
adam22	enteric_neurons	unassigned	2	6
tmsb	enteric_neurons	unassigned	2	8
tfr1a	hemangioblasts	unassigned	6	7
pknox2	lateral_plate_mesoderm	unassigned	1	1
bin1b	muscle	unassigned	4	3
si:ch211-263k4.2.1	neural_telencephalon	unassigned	1	1
snap25a	enteric_neurons	unassigned	2	6
ksr1b	hematopoietic_vasculature	unassigned	6	7
grip1	notochord	unassigned	0	0
dab1a	neural_telencephalon	unassigned	1	1
angpt2b	pharyngeal_arches	unassigned	3	5
si:ch211-250g4.3	hemangioblasts	unassigned	6	7
tshz3b	neurons	unassigned	0	0
ppfia4	muscle	unassigned	4	3
ldb3b	heart_myocardium	unassigned	4	3
gdpd5b	muscle	unassigned	0	2
wnt5b	NMPs	unassigned	0	2
elavl3	enteric_neurons	unassigned	2	6
si:ch73-217b7.1	hatching_gland	unassigned	5	4
ckma	enteric_neurons	unassigned	2	8
gpc5a	endoderm	unassigned	0	0
mdga1	endoderm	unassigned	3	10
niban2b	hematopoietic_vasculature	unassigned	3	5
mavs	pronephros	left_bottom	9	12
si:ch1073-153i20.4	neural_posterior	right_bottom	3	10
ANOS1	muscle	unassigned	4	3
dachb	differentiating_neurons	unassigned	0	0
zgc:153372	heart_myocardium	unassigned	2	8
ptprna	hindbrain	unassigned	1	1
sema4c	notochord	unassigned	0	0
apln	notochord	unassigned	7	9
tshz1	neurons	unassigned	0	0
neo1b.1	neurons	unassigned	3	10
ccdc80l2	lateral_plate_mesoderm	unassigned	3	8
si:ch211-258f14.2	hatching_gland	unassigned	5	4
pde4a	hindbrain	unassigned	0	0
sulf1	muscle	unassigned	0	2
trps1	PSM	unassigned	0	0
nmt1b	hatching_gland	unassigned	6	7
TTC28	lateral_plate_mesoderm	unassigned	3	5
abtb2b	hematopoietic_vasculature	unassigned	0	2
igfbp3	neural_telencephalon	unassigned	1	1
zgc:153426	enteric_neurons	unassigned	2	8
sptbn1	muscle	unassigned	0	2
hipk2	notochord	unassigned	0	0
runx1	hemangioblasts	unassigned	6	7
ppap2d	epidermis	unassigned	3	5
adcy2b	tail_bud	unassigned	6	7
nyap2b	midbrain_hindbrain_boundary	unassigned	1	1
tanc1a	muscle	unassigned	0	2
col6a4a	pronephros	unassigned	3	5
rarga	tail_bud	unassigned	0	2
rbfox3b	neural_telencephalon	unassigned	2	6
fat3a	hindbrain	unassigned	1	1
dld	tail_bud	unassigned	0	0
nav1b	enteric_neurons	unassigned	3	5
tbxtb	NMPs	unassigned	0	2
nr5a2	endoderm	unassigned	3	10
nhsb	heart_myocardium	unassigned	0	2
wnt3a	neurons	unassigned	1	1
lamb1a	epidermis	unassigned	0	2
atp2a1	muscle	unassigned	2	8
itga3b	notochord	unassigned	0	0
btk	hemangioblasts	unassigned	6	7
hist1h2a2	differentiating_neurons	right_bottom	3	10
pou2f2a.1	neural_optic	unassigned	1	1
col4a6	neural_posterior	unassigned	0	0
tet2	neural_optic	unassigned	1	1
ca8	notochord	unassigned	5	4
cadps2	hatching_gland	unassigned	5	4
si:ch211-151o1.4	differentiating_neurons	unassigned	2	6
oafa	notochord	unassigned	0	2
xirp1	muscle	unassigned	4	3
dusp2	neural_floor_plate	unassigned	8	10
plxna1a	neural_telencephalon	unassigned	1	1
desma	muscle	unassigned	4	3
znf516	enteric_neurons	unassigned	1	1
fabp3	hindbrain	unassigned	1	1
adgrl4	hematopoietic_vasculature	unassigned	6	7
klhl41b	muscle	unassigned	4	3
jmjd1cb	pronephros	unassigned	0	0
adgra2	pharyngeal_arches	unassigned	3	5
spega	heart_myocardium	unassigned	4	3
zgc:92518	muscle	unassigned	4	3
adma	hatching_gland	unassigned	5	4
or111-9	epidermis	unassigned	7	9
prox1a	enteric_neurons	unassigned	2	6
fabp11a	optic_cup	unassigned	2	8
CR354612.1	fast_muscle	unassigned	3	10
fn1a	hematopoietic_vasculature	unassigned	0	2
ephb4a	neural_floor_plate	unassigned	0	0
frmd4ba	hemangioblasts	unassigned	0	0
si:dkey-65j6.2	notochord	unassigned	7	9
rasef	hatching_gland	unassigned	5	4
stmn1b	enteric_neurons	unassigned	2	6
tcf12	muscle	unassigned	0	0
epcam	epidermis	unassigned	0	2
mgat4b	enteric_neurons	unassigned	0	0
bahcc1a	tail_bud	unassigned	0	2
prdm5	notochord	unassigned	3	5
si:ch211-163c2.2	PSM	unassigned	2	8
pcsk1nl	differentiating_neurons	unassigned	2	6
si:ch211-130h14.4	NMPs	unassigned	0	2
atp2a3	hatching_gland	unassigned	5	4
cd151	muscle	unassigned	4	3
baiap2a	hatching_gland	unassigned	0	0
eya4	pharyngeal_arches	unassigned	3	5
muc2.2	neural	unassigned	8	10
mab21l1	hatching_gland	unassigned	2	8
cdx4	NMPs	unassigned	8	2
skila	hemangioblasts	unassigned	6	7
sdk1b	optic_cup	unassigned	0	0
large2	PSM	unassigned	0	0
neb	muscle	unassigned	4	3
znf385a	epidermis	unassigned	0	0
cyp26a1	NMPs	unassigned	8	2
si:ch211-225b11.1	hemangioblasts	unassigned	6	7
lmo3	spinal_cord	unassigned	1	1
gal3st2	notochord	unassigned	7	9
pax9	neural_telencephalon	unassigned	1	1
kremen1	epidermis	unassigned	3	5
