celltype,mean_presence,median_presence,std_presence,total_pairs,pairs_50pct,pairs_80pct,pairs_90pct
NMPs,0.17115960633290542,0.16666666666666666,0.027430073612884024,70110,30,0,0
PSM,0.17025623563463008,0.16666666666666666,0.024678395180369968,70482,30,0,0
differentiating_neurons,0.17075044821992655,0.16666666666666666,0.02585915805102739,70278,6,0,0
endocrine_pancreas,0.17067759003242872,0.16666666666666666,0.02581904052988218,70308,18,0,0
endoderm,0.1709109553922406,0.16666666666666666,0.02679277191162451,70212,36,0,0
enteric_neurons,0.17045938805079688,0.16666666666666666,0.025044070379903405,70398,12,0,0
epidermis,0.17073587160662454,0.16666666666666666,0.026088561610094037,70284,24,0,0
fast_muscle,0.17096939647803042,0.16666666666666666,0.02652088424807634,70188,6,0,0
floor_plate,0.1709255619177848,0.16666666666666666,0.026569182961710396,70206,18,0,0
hatching_gland,0.17060479399471126,0.16666666666666666,0.025501446075331162,70338,12,0,0
heart_myocardium,0.17086715079026055,0.16666666666666666,0.02675183710705311,70230,42,0,0
hematopoietic_vasculature,0.17127686905883358,0.16666666666666666,0.027593226916871903,70062,18,0,0
hindbrain,0.17123287671232876,0.16666666666666666,0.027639954367130706,70080,30,0,0
lateral_plate_mesoderm,0.17038677798602825,0.16666666666666666,0.02471663996286027,70428,6,0,0
midbrain_hindbrain_boundary,0.17096939647803042,0.16666666666666666,0.026610269656695155,70188,12,0,0
muscle,0.1706339049569149,0.16666666666666666,0.025868253816650852,70326,30,0,0
neural,0.17077960891469557,0.16666666666666666,0.026039620519252613,70266,12,0,0
neural_crest,0.17069215669539983,0.16666666666666666,0.025771948556747158,70302,12,0,0
neural_floor_plate,0.17080877957126994,0.16666666666666666,0.026399213872004897,70254,30,0,0
neural_optic,0.17120356103406947,0.16666666666666666,0.02729609788374837,70092,12,0,0
neural_posterior,0.17080877957126994,0.16666666666666666,0.026218869472519352,70254,18,0,0
neural_telencephalon,0.17079419299743806,0.16666666666666666,0.026174747963138283,70260,18,0,0
neurons,0.1704448610874382,0.16666666666666666,0.02509239038974555,70404,18,0,0
notochord,0.2044780697270218,0.2,0.02986501435630742,58686,12,0,0
optic_cup,0.203334688897926,0.2,0.025767246983237534,59016,6,0,0
pharyngeal_arches,0.17067759003242874,0.16666666666666666,0.02591069080613765,70308,24,0,0
primordial_germ_cells,0.17126220243192325,0.16666666666666666,0.027464854730633276,70068,12,0,0
pronephros,0.1706339049569149,0.16666666666666666,0.025868253816650852,70326,30,0,0
somites,0.17105713308244952,0.16666666666666666,0.026869525141738126,70152,12,0,0
spinal_cord,0.17101325352714833,0.16666666666666666,0.026651241889102173,70170,6,0,0
tail_bud,0.17089635136289835,0.16666666666666666,0.02657152047262605,70218,24,0,0
