source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
tfap2a,rpl15,0.38938665,0.38938665,3.1495595677711287e-07,6.501750173404073,TDR126,0,neural_telencephalon,filtered
mafba,rpl15,0.36563554,0.36563554,5.103926826213152e-08,7.2920955606191145,TDR126,0,neural_telencephalon,filtered
nhlh2,rps26l,0.3556133,0.3556133,3.836755157450388e-21,20.41603591442196,TDR126,0,neural_telencephalon,filtered
sox13,zbtb16a,0.06392534,0.06392534,1.2827519874846192e-15,14.891857303780016,TDR126,0,neural_telencephalon,filtered
sox6,tp63,0.062384795,0.062384795,1.174722403638671e-05,4.930064748550781,TDR126,0,neural_telencephalon,filtered
sox5,zbtb16a,0.06143197,0.06143197,1.6726535648340355e-08,7.776593999540133,TDR126,0,neural_telencephalon,filtered
hmga1a,apoeb,0.058549196,0.058549196,4.755526615666818e-16,15.322801383329193,TDR126,0,neural_telencephalon,filtered
tbx16,itm2cb,0.05364399,0.05364399,7.346672365999322e-08,7.13390932762688,TDR126,0,neural_telencephalon,filtered
barhl1a,tenm4,0.052826628,0.052826628,1.7818776308302088e-17,16.749122124137514,TDR126,0,neural_telencephalon,filtered
rorb,tp63,0.050128937,0.050128937,1.950040795522968e-06,5.709956302952772,TDR126,0,neural_telencephalon,filtered
foxn3,zbtb16a,0.04904285,0.04904285,1.1210071039971186e-14,13.950391635204339,TDR126,0,neural_telencephalon,filtered
hmga1a,ran,0.04881438,0.04881438,1.21091395115706e-21,20.916886717191733,TDR126,0,neural_telencephalon,filtered
hey1,apoeb,0.04819332,0.04819332,1.6624912771038907e-13,12.779240624710924,TDR126,0,neural_telencephalon,filtered
hmga1a,rrm2,0.048163496,0.048163496,3.801121547957204e-12,11.42008824279808,TDR126,0,neural_telencephalon,filtered
six3b,actb2,0.047862664,0.047862664,3.2160408155797425e-11,10.492678448148531,TDR126,0,neural_telencephalon,filtered
cdx4,actb2,0.047225814,0.047225814,9.740452628153082e-17,16.011420861464106,TDR126,0,neural_telencephalon,filtered
sox19a,actb2,0.04665598,0.04665598,4.6323912227420526e-17,16.334194769940535,TDR126,0,neural_telencephalon,filtered
rfx4,tenm4,0.046338975,0.046338975,9.178973602458075e-11,10.03720587911578,TDR126,0,neural_telencephalon,filtered
sox6,apoeb,0.046304867,0.046304867,3.399549322752237e-10,9.468578653432733,TDR126,0,neural_telencephalon,filtered
etv2,rps5,0.0443072,0.0443072,9.874320334944204e-14,13.0054927878475,TDR126,0,neural_telencephalon,filtered
rx3,rrm2,0.044225004,0.044225004,6.873631119137136e-17,16.16281377845743,TDR126,0,neural_telencephalon,filtered
rfx4,zbtb16a,0.04388152,0.04388152,1.079988059912782e-12,11.966581045941437,TDR126,0,neural_telencephalon,filtered
myod1,apoc1,0.042562645,0.042562645,1.9375567479682947e-13,12.712745568837871,TDR126,0,neural_telencephalon,filtered
rx3,rpl3,0.042310636,0.042310636,6.510297067449304e-17,16.186399193949406,TDR126,0,neural_telencephalon,filtered
xbp1,apoc1,0.04121305,0.04121305,2.269360331314629e-14,13.644096540925496,TDR126,0,neural_telencephalon,filtered
six7,tenm4,0.04103767,0.04103767,8.505834328917651e-10,9.070283080443717,TDR126,0,neural_telencephalon,filtered
meis1a,tp63,0.040878452,0.040878452,5.7620989060362535e-05,4.2394192913563495,TDR126,0,neural_telencephalon,filtered
rx3,calm3a,0.040488526,0.040488526,5.625787348557891e-18,17.249816687935713,TDR126,0,neural_telencephalon,filtered
hoxc6b,hoxc3a,0.040314183,0.040314183,1.5504484176313379e-10,9.809542677869556,TDR126,0,neural_telencephalon,filtered
pax6a,fgfr2,0.040240712,0.040240712,4.287878473957494e-11,10.367757531812854,TDR126,0,neural_telencephalon,filtered
rx3,rps5,0.04013109,0.04013109,1.6298451329351476e-13,12.787853660078865,TDR126,0,neural_telencephalon,filtered
hoxb6b,hoxc3a,0.040064014,0.040064014,9.827550828730361e-10,9.007554701302833,TDR126,0,neural_telencephalon,filtered
foxp1b,zbtb16a,0.03994255,0.03994255,7.732737256442828e-11,10.111666746063461,TDR126,0,neural_telencephalon,filtered
hmga1a,rpl5b,0.039815992,0.039815992,3.052195807620985e-16,15.515387608514823,TDR126,0,neural_telencephalon,filtered
myf5,apoc1,0.03975612,0.03975612,9.820207483891302e-16,15.007879336229635,TDR126,0,neural_telencephalon,filtered
sox21a,zbtb16a,0.039430927,0.039430927,7.907046284431729e-13,12.101985719022851,TDR126,0,neural_telencephalon,filtered
pnx,rrm2,0.03938661,0.03938661,1.4169450282220351e-11,10.84864699830789,TDR126,0,neural_telencephalon,filtered
sox19a,rps5,0.039372116,0.039372116,1.1283887130347494e-17,16.947541266624473,TDR126,0,neural_telencephalon,filtered
rx3,rps9,0.03930174,0.03930174,5.294550385612514e-17,16.27617091437391,TDR126,0,neural_telencephalon,filtered
sox19a,syncrip,0.039253436,0.039253436,6.944113190248255e-17,16.15838320869856,TDR126,0,neural_telencephalon,filtered
lef1,zbtb16a,0.03861838,0.03861838,1.5743938083448928e-05,4.802886626869374,TDR126,0,neural_telencephalon,filtered
hmga1a,apoc1,0.038110305,0.038110305,1.6626340552963537e-12,11.779203328203296,TDR126,0,neural_telencephalon,filtered
raraa,hoxc3a,0.037989154,0.037989154,2.4431639857512116e-11,10.612047382098721,TDR126,0,neural_telencephalon,filtered
etv2,apoeb,0.037961196,0.037961196,3.672404205026393e-09,8.435049523998165,TDR126,0,neural_telencephalon,filtered
etv2,ran,0.037901968,0.037901968,4.117066697612368e-11,10.38541209725552,TDR126,0,neural_telencephalon,filtered
hmga1a,rps3a,0.03780421,0.03780421,3.401567960790569e-20,19.468320847736933,TDR126,0,neural_telencephalon,filtered
hmga1a,snrpg,0.037483428,0.037483428,3.131039233421639e-13,12.504311490431066,TDR126,0,neural_telencephalon,filtered
irx1b,actb2,0.0374055,0.0374055,8.500633683788278e-14,13.07054869838987,TDR126,0,neural_telencephalon,filtered
hmga1a,calm3a,0.03729361,0.03729361,1.1547163014413367e-14,13.937524703090183,TDR126,0,neural_telencephalon,filtered
rxrab,fn1b,0.037271168,0.037271168,2.0916890813817013e-10,9.679502870605681,TDR126,0,neural_telencephalon,filtered
hmga1a,ncl,0.037157092,0.037157092,5.8311237383292094e-12,11.234247742611988,TDR126,0,neural_telencephalon,filtered
rx3,faua,0.037132155,0.037132155,4.033186312141575e-19,18.394351715392318,TDR126,0,neural_telencephalon,filtered
irx1b,faua,0.03678367,0.03678367,1.4531382536784778e-16,15.83769306433013,TDR126,0,neural_telencephalon,filtered
six3b,apoeb,0.036712114,0.036712114,7.212350628005254e-11,10.141923168235495,TDR126,0,neural_telencephalon,filtered
rarab,fn1b,0.036227524,0.036227524,1.0328476744991781e-08,7.98596372398131,TDR126,0,neural_telencephalon,filtered
hoxa10b,hoxc3a,0.035896868,0.035896868,3.5431326436863663e-11,10.450612588749879,TDR126,0,neural_telencephalon,filtered
nr2f5,tenm4,0.035749327,0.035749327,2.0346935188440724e-11,10.691500998280937,TDR126,0,neural_telencephalon,filtered
foxn3,fgfr2,0.03561132,0.03561132,2.513023627680121e-10,9.59980342811142,TDR126,0,neural_telencephalon,filtered
irx1b,rpl3,0.03526331,0.03526331,4.412369053389119e-15,14.355328170042508,TDR126,0,neural_telencephalon,filtered
rx3,rpl21,0.03515748,0.03515748,2.7910392300869362e-14,13.554234059143564,TDR126,0,neural_telencephalon,filtered
sox19a,ran,0.035009187,0.035009187,3.664311517855115e-18,17.436007612314633,TDR126,0,neural_telencephalon,filtered
etv2,snrpg,0.03489912,0.03489912,4.757754857538203e-13,12.322597938667219,TDR126,0,neural_telencephalon,filtered
