source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
tfap2c,rpl15,0.28984776,0.28984776,5.236752430086362e-07,6.2809379570874055,TDR126,0,neurons,filtered
tfap2a,rpl15,0.2482391,0.2482391,2.1064019417699452e-07,6.676458753550875,TDR126,0,neurons,filtered
nhlh2,rps26l,0.2028794,0.2028794,2.9180661043108995e-18,17.534904874055908,TDR126,0,neurons,filtered
myb,rpl15,-0.17557694,0.17557694,2.1768745133882503e-06,5.662166605278514,TDR126,0,neurons,filtered
hmga1a,apoeb,0.14322077,0.14322077,1.1340180235037902e-17,16.94538004293338,TDR126,0,neurons,filtered
hmga1a,ran,0.13748708,0.13748708,6.858604492246912e-23,22.163764240411258,TDR126,0,neurons,filtered
tfap2b,rpl15,0.13058995,0.13058995,3.3833490686729296e-10,9.470653192641288,TDR126,0,neurons,filtered
msx1b,pax3a,0.1198961,0.1198961,2.1239417557491921e-16,15.672857396961358,TDR126,0,neurons,filtered
hmga1a,ncl,0.117849186,0.117849186,4.751687067145433e-16,15.323152168508136,TDR126,0,neurons,filtered
hmga1a,rpl5b,0.113026775,0.113026775,1.0545037998974344e-16,15.976951850944396,TDR126,0,neurons,filtered
mafba,rpl15,0.11051309,0.11051309,6.246989381357633e-06,5.204329232267794,TDR126,0,neurons,filtered
hmga1a,apoc1,0.10204901,0.10204901,2.8994305958592097e-15,14.53768728256885,TDR126,0,neurons,filtered
sox19a,rps5,0.09893903,0.09893903,8.632581307684965e-17,16.06385932247024,TDR126,0,neurons,filtered
hoxc6b,hoxc3a,0.098260745,0.098260745,8.211914693976318e-15,14.08555557076367,TDR126,0,neurons,filtered
hmga1a,rps13,0.097417995,0.097417995,1.2768832988054248e-18,17.89384879341853,TDR126,0,neurons,filtered
hmga1a,rps3a,0.09463086,0.09463086,9.271333869418167e-20,19.03285777929084,TDR126,0,neurons,filtered
meis1a,tp63,0.093100324,0.093100324,6.383015857350409e-06,5.194974076649433,TDR126,0,neurons,filtered
rorb,tp63,0.090027764,0.090027764,2.6863154130095003e-10,9.570842996102385,TDR126,0,neurons,filtered
xbp1,apoc1,0.08966984,0.08966984,6.988592767131702e-14,13.155610265598623,TDR126,0,neurons,filtered
sox6,tp63,0.08926521,0.08926521,3.749162634481253e-08,7.426065719961005,TDR126,0,neurons,filtered
hmga1a,rrm2,0.088508405,0.088508405,5.5976285137858617e-14,13.251995926835605,TDR126,0,neurons,filtered
hmga1a,snrpg,0.08846204,0.08846204,5.655120325716526e-14,13.24755815002433,TDR126,0,neurons,filtered
hmga1a,prmt1,0.08703303,0.08703303,3.1581847612228834e-18,17.500562466337737,TDR126,0,neurons,filtered
hmga1a,cirbpb,0.08701835,0.08701835,6.20874799397526e-20,19.206995967315724,TDR126,0,neurons,filtered
mafbb,rpl15,0.08621418,0.08621418,1.8957333617522956e-11,10.722222746988967,TDR126,0,neurons,filtered
irx3a,chrd,0.08551875,0.08551875,4.9591190596089894e-15,14.304595464947345,TDR126,0,neurons,filtered
hoxb6b,hoxc3a,0.085415326,0.085415326,1.5693058294880297e-16,15.804292411979606,TDR126,0,neurons,filtered
hmga1a,calm3a,0.082963936,0.082963936,8.934412425974486e-17,16.04893400371209,TDR126,0,neurons,filtered
rfx4,greb1l,0.08149553,0.08149553,3.475497047926424e-16,15.458983076042218,TDR126,0,neurons,filtered
rfx4,cntfr,0.07925326,0.07925326,3.62009959723408e-11,10.441279480866239,TDR126,0,neurons,filtered
hmga1a,hnrnpaba,0.07819275,0.07819275,9.154642792715688e-19,18.038358596876105,TDR126,0,neurons,filtered
hmga1a,hsp90ab1,0.07809007,0.07809007,6.249563983289626e-18,17.204150281257007,TDR126,0,neurons,filtered
six3b,actb2,0.07716408,0.07716408,3.908037405765118e-15,14.408041288085395,TDR126,0,neurons,filtered
hmga1a,rpl32,0.076555826,0.076555826,9.104512440507295e-17,16.040743306328896,TDR126,0,neurons,filtered
lmx1bb,pax3a,0.07651251,0.07651251,1.433540666684216e-13,12.8435899824761,TDR126,0,neurons,filtered
sox19a,tmsb4x,0.07498711,0.07498711,5.63639113469196e-18,17.248998876857158,TDR126,0,neurons,filtered
hmga1a,rps19,0.07494658,0.07494658,6.967665247260085e-22,21.156912722633002,TDR126,0,neurons,filtered
hmga1a,eef1a1l1,0.074909315,0.074909315,5.792306943555803e-21,20.23714843224591,TDR126,0,neurons,filtered
hmga1a,npm1a,0.073667444,0.073667444,2.9914969101181905e-11,10.524111441399342,TDR126,0,neurons,filtered
hmga1a,ptmab,0.07354721,0.07354721,3.57499040783413e-20,19.446725119130118,TDR126,0,neurons,filtered
hmga1a,pabpc1a,0.07324913,0.07324913,6.227630872512054e-15,14.205677137077268,TDR126,0,neurons,filtered
hmga1a,eef2b,0.07198931,0.07198931,1.4088145007417736e-19,18.851146186881973,TDR126,0,neurons,filtered
zic2b,actb2,0.07042891,0.07042891,1.4200319352123053e-11,10.847701888623615,TDR126,0,neurons,filtered
sox19a,ran,0.07019528,0.07019528,8.879239093383141e-16,15.05162424950336,TDR126,0,neurons,filtered
hmga1a,rps6,0.07008465,0.07008465,4.964931279772705e-16,15.304086758250584,TDR126,0,neurons,filtered
hmga1a,anp32b,0.06992041,0.06992041,4.1761936764236955e-17,16.379219368566226,TDR126,0,neurons,filtered
myf5,apoc1,0.06924545,0.06924545,2.6890167780056576e-18,17.570406488006324,TDR126,0,neurons,filtered
sox19a,actb2,0.068495095,0.068495095,3.3749708189071415e-16,15.471729977867739,TDR126,0,neurons,filtered
hmga1a,si:ch73-281n10.2,0.068188414,0.068188414,2.1345909538209283e-19,18.670685335401625,TDR126,0,neurons,filtered
sp9,chrd,0.06813117,0.06813117,1.2598409478945767e-12,11.899684280129936,TDR126,0,neurons,filtered
