source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
tfap2a,rpl15,0.38443205,0.38443205,1.0437953709497643e-07,6.981384633496492,TDR126,0,somites,filtered
mafba,rpl15,0.29376343,0.29376343,1.4727553454448244e-07,6.831869392293902,TDR126,0,somites,filtered
nhlh2,rps26l,0.24194309,0.24194309,3.759099741327565e-18,17.424916150866792,TDR126,0,somites,filtered
hmga1a,apoeb,0.12865512,0.12865512,1.3152490384500652e-19,18.880992007033928,TDR126,0,somites,filtered
hoxc6b,hoxc3a,0.101091504,0.101091504,1.5580396861354507e-16,15.807421484243607,TDR126,0,somites,filtered
sox6,tp63,0.091688134,0.091688134,0.00027165197725343245,3.5659871295511882,TDR126,0,somites,filtered
meis3,fgfr2,0.08696646,0.08696646,3.0706233351091565e-10,9.512773453995347,TDR126,0,somites,filtered
hmga1a,apoc1,0.08522106,0.08522106,1.1941718908827065e-14,13.922933155711773,TDR126,0,somites,filtered
hoxb6b,hoxc3a,0.08378995,0.08378995,3.1040917403328153e-16,15.50806545180446,TDR126,0,somites,filtered
hmga1a,rrm2,0.08278406,0.08278406,2.4434946731846627e-13,12.611988603396206,TDR126,0,somites,filtered
hmga1a,rpl5b,0.07645115,0.07645115,2.1955984711696698e-16,15.658447080296511,TDR126,0,somites,filtered
hmga1a,ran,0.0754422,0.0754422,1.0590717038382834e-18,17.97507463523992,TDR126,0,somites,filtered
meox1,ripply1,0.073454626,0.073454626,1.5402436288122026e-20,19.81241057898151,TDR126,0,somites,filtered
mafbb,rpl15,0.071815126,0.071815126,8.792449731630231e-11,10.055890105961035,TDR126,0,somites,filtered
rarab,hoxc3a,0.07123048,0.07123048,7.429294700160242e-13,12.12905241401435,TDR126,0,somites,filtered
hoxc6b,serpinh1b,0.07066504,0.07066504,8.697783759755621e-16,15.060591393763382,TDR126,0,somites,filtered
cdx4,actb2,0.06906833,0.06906833,1.6794805073539892e-16,15.774825032368746,TDR126,0,somites,filtered
hmga1a,rps13,0.065797836,0.065797836,2.3611212886223453e-19,18.626881703041374,TDR126,0,somites,filtered
hmga1a,ncl,0.06471497,0.06471497,5.0065071344483195e-15,14.30046516061329,TDR126,0,somites,filtered
tbx16,itm2cb,0.06366,0.06366,4.486633825753871e-15,14.34807937373499,TDR126,0,somites,filtered
hmga1a,snrpg,0.06297928,0.06297928,2.3875861575477974e-12,11.622040947671984,TDR126,0,somites,filtered
her9,apoeb,0.06277816,0.06277816,2.2157737107006194e-11,10.65447459467112,TDR126,0,somites,filtered
rx3,rpl21,0.06219165,0.06219165,3.6594490578962027e-16,15.436584294148254,TDR126,0,somites,filtered
sox6,apoeb,0.060788956,0.060788956,1.260188375137193e-10,9.89956453093979,TDR126,0,somites,filtered
hmga1a,rps3a,0.060279854,0.060279854,1.061953565631539e-21,20.97389447254916,TDR126,0,somites,filtered
tead1b,fgfr2,0.059460063,0.059460063,2.3294571617162254e-12,11.63274527173704,TDR126,0,somites,filtered
msx1b,pax3a,0.05895455,0.05895455,4.906920088694353e-10,9.309191014634058,TDR126,0,somites,filtered
nr2f5,fgfr2,0.05855352,0.05855352,1.6251894282209293e-10,9.789096011401156,TDR126,0,somites,filtered
sox5,zbtb16a,0.058067836,0.058067836,2.8228928847907025e-14,13.549305600927438,TDR126,0,somites,filtered
vox,hspb1,0.057844672,0.057844672,6.179224370657177e-13,12.209066035054205,TDR126,0,somites,filtered
meis2a,fgfr2,0.057248823,0.057248823,3.844311439245572e-06,5.4151814360745405,TDR126,0,somites,filtered
hmga1a,prmt1,0.057215475,0.057215475,3.035003388629365e-17,16.517840819691784,TDR126,0,somites,filtered
six1b,fgfr2,0.057170946,0.057170946,4.11190272254559e-12,11.38595716822518,TDR126,0,somites,filtered
rx3,rps9,0.056568228,0.056568228,2.7953230807075338e-15,14.55356798954514,TDR126,0,somites,filtered
hmga1a,cirbpb,0.056052547,0.056052547,2.236611856697894e-17,16.650409377155135,TDR126,0,somites,filtered
rarab,fn1b,0.055881683,0.055881683,1.7341864429370588e-17,16.760904213211607,TDR126,0,somites,filtered
hoxb6b,serpinh1b,0.055625305,0.055625305,1.5364514449075924e-12,11.813481159808447,TDR126,0,somites,filtered
sox5,fn1b,0.05507806,0.05507806,1.4517209196701265e-12,11.838116864831948,TDR126,0,somites,filtered
xbp1,apoc1,0.054915868,0.054915868,3.862420587801989e-11,10.413140436663273,TDR126,0,somites,filtered
meis1a,qkia,0.05488826,0.05488826,2.2324032700754143e-19,18.651227349990414,TDR126,0,somites,filtered
sox6,dag1,0.05470235,0.05470235,1.1314517101019875e-05,4.946363976825268,TDR126,0,somites,filtered
rarab,serpinh1b,0.054461304,0.054461304,7.106716768267545e-13,12.148330992624214,TDR126,0,somites,filtered
vox,rpl21,0.054173887,0.054173887,4.656598227335611e-17,16.331931231506463,TDR126,0,somites,filtered
hmga1a,rps19,0.05398917,0.05398917,5.081571038439048e-19,18.294001998770447,TDR126,0,somites,filtered
