source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
tfap2a,rpl15,0.45415416,0.45415416,9.005233218878767e-07,6.045505035275258,TDR126,0,tail_bud,filtered
mafba,rpl15,0.38962442,0.38962442,1.2450070806000444e-08,7.904828178643117,TDR126,0,tail_bud,filtered
hmga1a,apoc1,0.18727307,0.18727307,1.3622262598106506e-14,13.865750752022183,TDR126,0,tail_bud,filtered
hmga1a,ran,0.1787271,0.1787271,6.415986013454058e-24,23.192736591464282,TDR126,0,tail_bud,filtered
mafbb,rpl15,0.16393174,0.16393174,1.5894593461496239e-12,11.798750575625066,TDR126,0,tail_bud,filtered
hmga1a,ncl,0.1631918,0.1631918,3.2631592284341954e-17,16.486361733952506,TDR126,0,tail_bud,filtered
hmga1a,rrm2,0.16063382,0.16063382,3.7296401858548076e-16,15.42833306439381,TDR126,0,tail_bud,filtered
hmga1a,apoeb,0.15882418,0.15882418,1.164883724662679e-14,13.933717422498534,TDR126,0,tail_bud,filtered
hmga1a,rpl5b,0.15202518,0.15202518,5.041766067642591e-15,14.297417308974703,TDR126,0,tail_bud,filtered
hmga1a,snrpg,0.14620177,0.14620177,1.193509477405372e-13,12.923174128003255,TDR126,0,tail_bud,filtered
hmga1a,cirbpb,0.13793172,0.13793172,2.069501293559721e-19,18.684134297803606,TDR126,0,tail_bud,filtered
hmga1a,prmt1,0.13057393,0.13057393,1.1689432410685124e-16,15.932206575826344,TDR126,0,tail_bud,filtered
xbp1,apoc1,0.1304223,0.1304223,2.647583520959908e-13,12.577150330703056,TDR126,0,tail_bud,filtered
hmga1a,rps3a,0.12698068,0.12698068,1.038370125571351e-20,19.983647815233756,TDR126,0,tail_bud,filtered
hmga1a,rps13,0.11908857,0.11908857,4.630983817254766e-18,17.334326736624167,TDR126,0,tail_bud,filtered
hoxc6b,hoxc3a,0.11665312,0.11665312,2.1525491600948376e-15,14.667046921307934,TDR126,0,tail_bud,filtered
hmga1a,hnrnpaba,0.11553316,0.11553316,1.719146043484762e-20,19.764687227917122,TDR126,0,tail_bud,filtered
rarga,szl,0.11416506,0.11416506,2.3547220051536125e-12,11.628060357645149,TDR126,0,tail_bud,filtered
hmga1a,rps19,0.11329156,0.11329156,2.975086171735462e-20,19.526500450652332,TDR126,0,tail_bud,filtered
ctcf,nucks1a,0.112815954,0.112815954,1.915503062393427e-14,13.717717149355922,TDR126,0,tail_bud,filtered
sox5,zbtb16a,0.111976735,0.111976735,2.442182681272328e-14,13.612221852880438,TDR126,0,tail_bud,filtered
hmga1a,calm3a,0.110770665,0.110770665,8.203065711168514e-19,18.08602380949211,TDR126,0,tail_bud,filtered
lef1,tbx16,0.10903685,0.10903685,8.887700312703708e-19,18.051210597939082,TDR126,0,tail_bud,filtered
sox6,tp63,0.108304285,0.108304285,9.625590883937881e-11,10.016572601065484,TDR126,0,tail_bud,filtered
hmga1a,rpl32,0.10751691,0.10751691,4.565913241923622e-22,21.340472344907063,TDR126,0,tail_bud,filtered
hmga1a,ptmab,0.10594292,0.10594292,6.474423320064462e-24,23.188798908338185,TDR126,0,tail_bud,filtered
hmga1a,pabpc1a,0.1051399,0.1051399,9.684540571894105e-16,15.013920977094985,TDR126,0,tail_bud,filtered
hmga1a,hsp90ab1,0.10397834,0.10397834,8.146641513937244e-23,22.08902139402989,TDR126,0,tail_bud,filtered
hmga1a,eef1a1l1,0.102266885,0.102266885,2.1688052724603974e-22,21.663779439637423,TDR126,0,tail_bud,filtered
raraa,szl,-0.1008378,0.1008378,1.0027926409914642e-11,10.998788861778566,TDR126,0,tail_bud,filtered
hmga1a,rpl11,0.09956567,0.09956567,3.557095436799603e-17,16.44890448254562,TDR126,0,tail_bud,filtered
hmga1a,rps18,0.098395914,0.098395914,2.681140150787356e-19,18.571680483621478,TDR126,0,tail_bud,filtered
rarab,fn1b,0.09734548,0.09734548,5.739474429616825e-15,14.241127874634712,TDR126,0,tail_bud,filtered
meis1a,tp63,0.09655009,0.09655009,6.840144678502399e-08,7.164934712254922,TDR126,0,tail_bud,filtered
hmga1a,npm1a,0.09651185,0.09651185,2.4965992135873786e-14,13.602651170623343,TDR126,0,tail_bud,filtered
hmga1a,rpl35,0.09556352,0.09556352,2.841041121430149e-18,17.54652248022252,TDR126,0,tail_bud,filtered
hmga1a,rps6,0.09552268,0.09552268,1.716282788387964e-15,14.765411152782171,TDR126,0,tail_bud,filtered
hoxc6b,serpinh1b,0.09545397,0.09545397,2.3383178370888284e-15,14.63109645745469,TDR126,0,tail_bud,filtered
hmga1a,rpl4,0.09409677,0.09409677,8.593577155835397e-23,22.06582601944491,TDR126,0,tail_bud,filtered
hmga1a,tuba8l4,0.09331425,0.09331425,1.2555304554529526e-20,19.9011727481245,TDR126,0,tail_bud,filtered
hmga1a,anp32b,0.092201464,0.092201464,3.3804854715022436e-17,16.471020926215058,TDR126,0,tail_bud,filtered
hmga1a,si:ch73-281n10.2,0.09214209,0.09214209,2.556196900268042e-21,20.59240569612931,TDR126,0,tail_bud,filtered
vox,tbx16,0.0918673,0.0918673,2.0806016655375795e-13,12.681811058192004,TDR126,0,tail_bud,filtered
hmga1a,hmgb2a,0.09143785,0.09143785,4.1234138867936033e-19,18.384743070794283,TDR126,0,tail_bud,filtered
hmga1a,khdrbs1a,0.09133152,0.09133152,6.349597027743551e-21,20.19725383599631,TDR126,0,tail_bud,filtered
hmga1a,eef2b,0.09077684,0.09077684,4.657400364966438e-16,15.331856427125896,TDR126,0,tail_bud,filtered
hmga1a,rpl9,0.0906073,0.0906073,5.313809943140902e-18,17.274593982880432,TDR126,0,tail_bud,filtered
zic2b,szl,0.09016409,0.09016409,1.993519837760177e-15,14.700379438262479,TDR126,0,tail_bud,filtered
tbx16,itm2cb,0.089251384,0.089251384,9.372348560293695e-21,20.028151568240116,TDR126,0,tail_bud,filtered
