source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
mybl1,rpl15,0.29535928,0.29535928,6.134145248651061e-12,11.212245944698362,TDR127,5,NMPs,filtered
myb,rpl15,0.19292608,0.19292608,7.695838565803022e-08,7.113744050990549,TDR127,5,NMPs,filtered
hmga1a,apoeb,0.18623225,0.18623225,6.092902265659188e-15,14.215175788201698,TDR127,5,NMPs,filtered
xbp1,eef1a1l1,0.15001327,0.15001327,1.2663335607922026e-12,11.897451883156949,TDR127,5,NMPs,filtered
hmga1a,apoc1,0.13994448,0.13994448,4.8691894307956295e-14,13.312543329346294,TDR127,5,NMPs,filtered
hmga1a,ran,0.12652013,0.12652013,3.7061644594610314e-20,19.43107531295784,TDR127,5,NMPs,filtered
mafba,eef1a1l1,0.120791934,0.120791934,1.6457957551884742e-13,12.783624062136143,TDR127,5,NMPs,filtered
rarga,szl,0.11861503,0.11861503,1.7790200110868087e-13,12.749819166780775,TDR127,5,NMPs,filtered
her6,apoeb,0.115313545,0.115313545,1.684251147019742e-14,13.773593148209113,TDR127,5,NMPs,filtered
hmga1a,rps3a,0.10631433,0.10631433,3.786793470441847e-20,19.42172838040686,TDR127,5,NMPs,filtered
sox5,zbtb16a,0.10227962,0.10227962,5.726685788625508e-10,9.242096645070653,TDR127,5,NMPs,filtered
raraa,hoxc3a,0.09935975,0.09935975,9.112199123051144e-15,14.040376798466111,TDR127,5,NMPs,filtered
hoxc6b,hoxc3a,0.09631543,0.09631543,1.9422416639987184e-14,13.711696733845407,TDR127,5,NMPs,filtered
sox6,tp63,0.09626163,0.09626163,1.7010534847789153e-17,16.769282031020484,TDR127,5,NMPs,filtered
tp63,bcam,0.09148684,0.09148684,2.211978420916055e-11,10.655219114131713,TDR127,5,NMPs,filtered
hmga1a,rps13,0.08892341,0.08892341,1.2278472803723275e-14,13.910855647377405,TDR127,5,NMPs,filtered
fosl2,dag1,0.08731115,0.08731115,3.4932036395423423e-13,12.456776096025207,TDR127,5,NMPs,filtered
raraa,cdx4,0.08558229,0.08558229,5.673783163531692e-10,9.24612726576983,TDR127,5,NMPs,filtered
hmga1a,prmt1,0.08366692,0.08366692,2.9369219983804015e-15,14.532107587737608,TDR127,5,NMPs,filtered
hmga1a,ncl,0.08143437,0.08143437,4.892054769282018e-19,18.31050868943955,TDR127,5,NMPs,filtered
hmga1a,rpl13a,0.08020251,0.08020251,1.8891545449145292e-18,17.723732512560872,TDR127,5,NMPs,filtered
sox6,dag1,0.07923435,0.07923435,1.9321498990214867e-11,10.713959183410939,TDR127,5,NMPs,filtered
hmga1a,rps2,0.079224244,0.079224244,7.865034268945738e-17,16.104299380760768,TDR127,5,NMPs,filtered
hmga1a,cirbpb,0.079112455,0.079112455,9.995055007586182e-21,20.000214811408256,TDR127,5,NMPs,filtered
lef1,zbtb16a,0.078539565,0.078539565,9.772032043728126e-10,9.01001511758977,TDR127,5,NMPs,filtered
gata2a,pcdh19,0.07806404,0.07806404,8.68016765955977e-14,13.061471886238435,TDR127,5,NMPs,filtered
sox6,col18a1a,0.07770824,0.07770824,1.4313016719995608e-12,11.844268821392578,TDR127,5,NMPs,filtered
hmga1a,hnrnpaba,0.07689111,0.07689111,5.10664919461341e-20,19.291863975329598,TDR127,5,NMPs,filtered
sox6,apoeb,0.076573245,0.076573245,3.8830692833217145e-08,7.4108248605237765,TDR127,5,NMPs,filtered
hmga1a,rpl32,0.07506575,0.07506575,4.923917750611177e-23,22.30768921015868,TDR127,5,NMPs,filtered
sox13,zbtb16a,0.07422905,0.07422905,1.3565765959718123e-13,12.86755567977282,TDR127,5,NMPs,filtered
etv2,eef1a1l1,0.07264686,0.07264686,1.7082121186927326e-09,8.767458201411731,TDR127,5,NMPs,filtered
msx1b,cdh6,0.07207384,0.07207384,1.1541353918686e-15,14.937743241013584,TDR127,5,NMPs,filtered
hmga1a,rps19,0.071900934,0.071900934,5.847042792054995e-17,16.23306372773184,TDR127,5,NMPs,filtered
lef1,tbx16,0.07136954,0.07136954,3.9769625560493016e-10,9.400448497969947,TDR127,5,NMPs,filtered
hmga1a,cfl1,0.07124596,0.07124596,3.147617290172774e-19,18.50201807773297,TDR127,5,NMPs,filtered
lhx5,cx43.4,0.0710967,0.0710967,1.4118332700891214e-14,13.850216588097036,TDR127,5,NMPs,filtered
hmga1a,ptmab,0.0708596,0.0708596,3.2599231319120958e-21,20.48679264035537,TDR127,5,NMPs,filtered
raraa,szl,-0.070651606,0.070651606,3.3661900572446387e-12,11.472861367123595,TDR127,5,NMPs,filtered
rxraa,szl,0.070217736,0.070217736,2.1118177331629557e-09,8.67534356762375,TDR127,5,NMPs,filtered
pitx2,he1.1,0.069704615,0.069704615,2.933088518158534e-09,8.532674830177408,TDR127,5,NMPs,filtered
gata5,eef1a1l1,0.06909033,0.06909033,1.7768953907158119e-07,6.750338139202107,TDR127,5,NMPs,filtered
hmga1a,hsp90ab1,0.068213634,0.068213634,7.118510335564022e-14,13.147610880061523,TDR127,5,NMPs,filtered
xbp1,cdx4,0.06806466,0.06806466,2.056558936923608e-11,10.68685883995304,TDR127,5,NMPs,filtered
tfap2c,col18a1a,0.068034396,0.068034396,3.0766579060466442e-15,14.511920790322467,TDR127,5,NMPs,filtered
rxraa,tbx16,0.06784881,0.06784881,1.204673812374061e-11,10.919130530402812,TDR127,5,NMPs,filtered
hmga1a,rpl35,0.067758225,0.067758225,1.0361332542736087e-18,17.984584387569353,TDR127,5,NMPs,filtered
hmga1a,rps18,0.06660683,0.06660683,2.422870546086456e-19,18.61566978958607,TDR127,5,NMPs,filtered
sox11b,syncrip,0.0657873,0.0657873,2.196634730241813e-14,13.658242154198753,TDR127,5,NMPs,filtered
zic2b,histh1l,0.06539882,0.06539882,1.331759951125171e-12,11.875574049412588,TDR127,5,NMPs,filtered
xbp1,apoc1,0.06536897,0.06536897,3.116968657030408e-11,10.50626756478995,TDR127,5,NMPs,filtered
foxp1b,zbtb16a,0.065018624,0.065018624,7.145887377296203e-11,10.14594383277453,TDR127,5,NMPs,filtered
hmga1a,rpl11,0.06486823,0.06486823,1.0355678103365321e-18,17.98482145766792,TDR127,5,NMPs,filtered
meis1a,tp63,0.064731345,0.064731345,3.1431758743962033e-10,9.502631317632497,TDR127,5,NMPs,filtered
sox19a,rps5,0.064716786,0.064716786,1.3020011115077891e-15,14.885388645013991,TDR127,5,NMPs,filtered
rarga,cdx4,0.064171895,0.064171895,9.317297514229472e-11,10.030710036664635,TDR127,5,NMPs,filtered
hmga1a,pabpc1a,0.06344488,0.06344488,4.026997886295009e-20,19.395018598346542,TDR127,5,NMPs,filtered
hmga1a,rps6,0.063165955,0.063165955,3.5472235263364755e-19,18.450111443838228,TDR127,5,NMPs,filtered
hmga1a,seta,0.06314635,0.06314635,8.237333548670307e-17,16.08421334807312,TDR127,5,NMPs,filtered
xbp1,zgc:174855,0.06311946,0.06311946,2.39462952781612e-13,12.620761666579456,TDR127,5,NMPs,filtered
sox5,apoeb,0.062848225,0.062848225,1.366305337719649e-12,11.864452235011433,TDR127,5,NMPs,filtered
hmga1a,rpl12,0.062367145,0.062367145,1.1013012605085093e-20,19.958093863698736,TDR127,5,NMPs,filtered
hmga1a,rpl13,0.062167175,0.062167175,2.5033052406872563e-22,21.60148619143705,TDR127,5,NMPs,filtered
tbx16,msgn1,0.06199669,0.06199669,4.37809111254133e-16,15.358715204562928,TDR127,5,NMPs,filtered
hmga1a,rpl18a,0.06196809,0.06196809,4.812329175817102e-16,15.31764467344536,TDR127,5,NMPs,filtered
hmga1a,rpl9,0.06173431,0.06173431,3.503354155294181e-19,18.455515957482337,TDR127,5,NMPs,filtered
rfx4,zbtb16a,0.061680507,0.061680507,6.349364602661965e-07,6.197269733505624,TDR127,5,NMPs,filtered
hmga1a,tubb2b,0.06154288,0.06154288,1.545445252388284e-14,13.810946375270236,TDR127,5,NMPs,filtered
lef1,ved,0.061191756,0.061191756,1.5929314378570945e-20,19.797802916478297,TDR127,5,NMPs,filtered
nkx2.2b,eef1a1l1,0.06108416,0.06108416,3.248447757482247e-12,11.48832411329745,TDR127,5,NMPs,filtered
hoxb7a,rps5,0.06079504,0.06079504,5.220939186217085e-16,15.282251365445513,TDR127,5,NMPs,filtered
meox1,rpl21,0.060565315,0.060565315,1.8504893816187962e-17,16.73271340260756,TDR127,5,NMPs,filtered
tfap2a,pax3a,0.060352497,0.060352497,7.748603020488016e-10,9.11077658848472,TDR127,5,NMPs,filtered
hmga1a,si:ch73-281n10.2,0.06032197,0.06032197,5.145294164563761e-20,19.288589790892843,TDR127,5,NMPs,filtered
sox3,apoeb,-0.06016912,0.06016912,2.790524995308189e-10,9.554314083064611,TDR127,5,NMPs,filtered
tbx16,cx43.4,0.06012488,0.06012488,3.804324469451967e-14,13.419722449336344,TDR127,5,NMPs,filtered
sox13,dag1,0.059459493,0.059459493,6.289492158701766e-11,10.20138441998835,TDR127,5,NMPs,filtered
rarab,tenm4,0.059164863,0.059164863,3.9810237084175843e-19,18.4000052360295,TDR127,5,NMPs,filtered
hmga1a,npm1a,0.05806652,0.05806652,1.4486407950069942e-17,16.839039288846084,TDR127,5,NMPs,filtered
hmga1a,hmgn6,0.0578051,0.0578051,2.2601304575958658e-15,14.64586649210091,TDR127,5,NMPs,filtered
irx1b,histh1l,0.05771249,0.05771249,1.9697310992333793e-11,10.705593058148104,TDR127,5,NMPs,filtered
hmga1a,rps14,0.057694867,0.057694867,1.0348018431743678e-20,19.985142806395633,TDR127,5,NMPs,filtered
hmga1a,khdrbs1a,0.057690192,0.057690192,3.61154666228959e-19,18.44230676954965,TDR127,5,NMPs,filtered
hmga1a,eef1g,0.05763031,0.05763031,2.760365058275733e-14,13.559033478691804,TDR127,5,NMPs,filtered
fosl2,eef1a1l1,-0.05751948,0.05751948,5.711865741097208e-10,9.243222009317648,TDR127,5,NMPs,filtered
foxd5,gdf11,0.05738907,0.05738907,2.1339081807500808e-19,18.670824271627332,TDR127,5,NMPs,filtered
hmga1a,tuba8l4,0.057232432,0.057232432,1.1192522165000344e-21,20.951072036892892,TDR127,5,NMPs,filtered
meox1,nectin1b,0.057222642,0.057222642,9.88257557197514e-11,10.005129855925917,TDR127,5,NMPs,filtered
tp63,lama5,0.05720759,0.05720759,1.2193453759151852e-17,16.91387326434934,TDR127,5,NMPs,filtered
tbx16,itm2cb,0.057100587,0.057100587,1.516127276715859e-18,17.819264338773124,TDR127,5,NMPs,filtered
