source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
mybl1,rpl15,0.20402083,0.20402083,5.2533698913014004e-05,4.279562019319573,TDR127,5,fast_muscle,filtered
meox1,nectin1b,0.103336126,0.103336126,6.296581991373477e-17,16.200895137072024,TDR127,5,fast_muscle,filtered
mafba,eef1a1l1,0.08751377,0.08751377,2.3854250899031506e-15,14.622434217148449,TDR127,5,fast_muscle,filtered
xbp1,eef1a1l1,0.060291037,0.060291037,1.1654387679112972e-14,13.933510539352172,TDR127,5,fast_muscle,filtered
ascl1a,eef1a1l1,0.060189962,0.060189962,1.0052471993153412e-12,11.99772712819629,TDR127,5,fast_muscle,filtered
hmx3a,nectin1b,0.05493824,0.05493824,2.2317625731045455e-11,10.651352009857767,TDR127,5,fast_muscle,filtered
fosl2,dag1,0.05391404,0.05391404,1.438707867186382e-08,7.842027381566419,TDR127,5,fast_muscle,filtered
etv2,apoeb,0.05153875,0.05153875,6.070832364147935e-10,9.21675175927508,TDR127,5,fast_muscle,filtered
etv2,eef1a1l1,0.048711345,0.048711345,3.6479660427706625e-09,8.437949212971352,TDR127,5,fast_muscle,filtered
nkx2.2b,eef1a1l1,0.047289852,0.047289852,1.0693284732452498e-12,11.97088886896748,TDR127,5,fast_muscle,filtered
nkx2.4b,eef1a1l1,0.046213984,0.046213984,2.1942912270824195e-10,9.658705733223758,TDR127,5,fast_muscle,filtered
sox6,tp63,0.044749796,0.044749796,2.7785792759935784e-07,6.5561772077915395,TDR127,5,fast_muscle,filtered
phox2a,nectin1b,-0.042900562,0.042900562,9.629582932655625e-09,8.016392522218005,TDR127,5,fast_muscle,filtered
meox1,fn1b,0.042269826,0.042269826,3.2430272517626177e-13,12.489049401854194,TDR127,5,fast_muscle,filtered
foxo3b,kirrel3l,0.04218781,0.04218781,1.823527403006448e-19,18.739087705953125,TDR127,5,fast_muscle,filtered
barhl1a,nectin1b,0.041829117,0.041829117,1.9786974823369162e-07,6.703620598817627,TDR127,5,fast_muscle,filtered
fosb,nectin1b,0.040676348,0.040676348,9.864964693325529e-09,8.005904464747456,TDR127,5,fast_muscle,filtered
fosl2,nectin1b,0.03757766,0.03757766,2.3954712023576895e-07,6.620609045733543,TDR127,5,fast_muscle,filtered
meis1a,fn1b,0.03755861,0.03755861,1.979035908326016e-12,11.703546325729752,TDR127,5,fast_muscle,filtered
rfx4,eef1a1l1,0.037417594,0.037417594,4.7244295152966313e-14,13.325650625951914,TDR127,5,fast_muscle,filtered
meox1,ripply1,0.036827315,0.036827315,1.157401601280582e-16,15.936515921119836,TDR127,5,fast_muscle,filtered
meis3,fgfr2,0.036675494,0.036675494,7.87000295439851e-12,11.104025104606789,TDR127,5,fast_muscle,filtered
raraa,cdx4,0.03617729,0.03617729,1.7966901257723332e-12,11.745526818979885,TDR127,5,fast_muscle,filtered
spi1b,eef1a1l1,0.036045365,0.036045365,4.707781248972012e-10,9.327183725219324,TDR127,5,fast_muscle,filtered
sox6,dag1,0.03502988,0.03502988,1.1265669661947311e-06,5.9482429875314144,TDR127,5,fast_muscle,filtered
etv5a,eef1a1l1,0.034513373,0.034513373,1.6710363481694385e-10,9.777014103285707,TDR127,5,fast_muscle,filtered
foxn3,dag1,0.034426056,0.034426056,2.0062064698710157e-09,8.697624373353811,TDR127,5,fast_muscle,filtered
nkx2.7,eef1a1l1,0.034406006,0.034406006,5.877745772847814e-12,11.230789202175801,TDR127,5,fast_muscle,filtered
roraa,cdx4,0.034129534,0.034129534,1.1484559744348653e-13,12.939885648641768,TDR127,5,fast_muscle,filtered
hmga1a,apoeb,0.033996284,0.033996284,1.1841696316120878e-11,10.926586080724386,TDR127,5,fast_muscle,filtered
nr3c2,pcdh19,0.033230428,0.033230428,2.3314320434856716e-05,4.632377238828105,TDR127,5,fast_muscle,filtered
drgx,apoc1,0.033169992,0.033169992,2.111533235018775e-13,12.675402078495921,TDR127,5,fast_muscle,filtered
myf5,eef1a1l1,0.03262191,0.03262191,1.4098903551309358e-10,9.850814660403591,TDR127,5,fast_muscle,filtered
meis1a,fgfr2,0.032589573,0.032589573,2.260928565668418e-12,11.64571315902842,TDR127,5,fast_muscle,filtered
meis1a,itga9,0.032377314,0.032377314,1.2029888628040616e-13,12.919738393312798,TDR127,5,fast_muscle,filtered
jun,apoeb,0.032074537,0.032074537,2.6541243917268086e-12,11.57607872677129,TDR127,5,fast_muscle,filtered
foxd1,prmt1,0.03193566,0.03193566,1.3202071090567739e-09,8.879357932987391,TDR127,5,fast_muscle,filtered
sox13,zbtb16a,0.03192681,0.03192681,2.067069913459964e-10,9.684644834201745,TDR127,5,fast_muscle,filtered
smad3a,eef1a1l1,0.031892672,0.031892672,2.1749350576351707e-12,11.662553706310154,TDR127,5,fast_muscle,filtered
nkx2.4a,eef1a1l1,0.03140838,0.03140838,1.640440077402626e-10,9.785039629056467,TDR127,5,fast_muscle,filtered
vsx1,nectin1b,0.031056337,0.031056337,1.2099160012729076e-06,5.917244779642192,TDR127,5,fast_muscle,filtered
hey1,fgfrl1a,0.03095756,0.03095756,8.402001295605324e-20,19.07561725582895,TDR127,5,fast_muscle,filtered
hey1,itga9,0.030635307,0.030635307,8.436415051722885e-12,11.073842062142742,TDR127,5,fast_muscle,filtered
nr2f5,fgfr2,0.03026044,0.03026044,3.458541912293167e-13,12.461106956961633,TDR127,5,fast_muscle,filtered
ptf1a,tp63,0.030117527,0.030117527,4.375876130420048e-05,4.358934980238715,TDR127,5,fast_muscle,filtered
uncx,nectin1b,0.030086886,0.030086886,1.9180977243070438e-05,4.717129269925459,TDR127,5,fast_muscle,filtered
meis1a,greb1l,0.030021604,0.030021604,1.279722522331632e-15,14.892884186667626,TDR127,5,fast_muscle,filtered
rarab,cdx4,0.029922774,0.029922774,1.3199913031821623e-09,8.87942893015206,TDR127,5,fast_muscle,filtered
rx2,nectin1b,0.029879594,0.029879594,2.573913827612437e-05,4.589405996988302,TDR127,5,fast_muscle,filtered
sox5,draxin,0.029840937,0.029840937,8.372996074202303e-17,16.077119112416774,TDR127,5,fast_muscle,filtered
irx7,nucks1a,0.029771166,0.029771166,2.338507726801576e-16,15.631061190775045,TDR127,5,fast_muscle,filtered
alx1,nectin1b,-0.029706355,0.029706355,7.341537894880362e-08,7.134212955165658,TDR127,5,fast_muscle,filtered
irx1b,cd3eap,0.029701171,0.029701171,2.1764173820511276e-14,13.662257814240704,TDR127,5,fast_muscle,filtered
zic2b,histh1l,0.029388921,0.029388921,9.053220849828417e-15,14.043196885054016,TDR127,5,fast_muscle,filtered
meis1a,qkia,0.029109877,0.029109877,2.5797536291610756e-09,8.58842176791464,TDR127,5,fast_muscle,filtered
etv2,nectin1b,-0.029063834,0.029063834,4.4510512641599365e-07,6.351537403782278,TDR127,5,fast_muscle,filtered
tbx18,efemp2b,0.028993297,0.028993297,9.895565058371276e-16,15.00455940158634,TDR127,5,fast_muscle,filtered
fli1b,apoeb,0.028847404,0.028847404,8.12234777991677e-07,6.090318418974872,TDR127,5,fast_muscle,filtered
klf17,id1,0.028841285,0.028841285,4.990188838664851e-11,10.301883019499185,TDR127,5,fast_muscle,filtered
foxi3b,akap12b,0.028829826,0.028829826,2.403779357296911e-11,10.619105398693476,TDR127,5,fast_muscle,filtered
nkx2.5,eef1a1l1,0.028314857,0.028314857,3.6572714620622043e-09,8.436842802828437,TDR127,5,fast_muscle,filtered
xbp1,nucks1a,0.02804963,0.02804963,1.858605478692248e-14,13.730812786995418,TDR127,5,fast_muscle,filtered
klf3,pcdh19,0.027408412,0.027408412,2.5748745296519596e-08,7.589243928722757,TDR127,5,fast_muscle,filtered
msx3,nectin1b,-0.027043637,0.027043637,3.3973875958420767e-07,6.468854903193872,TDR127,5,fast_muscle,filtered
barhl2,nectin1b,-0.027029933,0.027029933,3.9000558000968486e-07,6.40892917925535,TDR127,5,fast_muscle,filtered
elk3,apoeb,0.026925,0.026925,2.7467588961318334e-07,6.561179460228137,TDR127,5,fast_muscle,filtered
egr2b,nucks1a,0.026828654,0.026828654,1.61738104546925e-12,11.791187650811372,TDR127,5,fast_muscle,filtered
roraa,syncrip,0.026750615,0.026750615,2.6765906825848884e-15,14.572418038184129,TDR127,5,fast_muscle,filtered
dmrt2a,meis1a,0.026688868,0.026688868,1.2979918659330438e-14,13.886728029100722,TDR127,5,fast_muscle,filtered
gbx1,nectin1b,-0.026668789,0.026668789,1.520612256277353e-08,7.817981513380916,TDR127,5,fast_muscle,filtered
klf3,bcam,0.026598576,0.026598576,3.9165101561864694e-07,6.407100742919403,TDR127,5,fast_muscle,filtered
nkx2.7,id1,0.026391491,0.026391491,7.606630942830587e-14,13.118807654256395,TDR127,5,fast_muscle,filtered
meox1,greb1l,0.026258316,0.026258316,4.3817337183134964e-14,13.35835401841861,TDR127,5,fast_muscle,filtered
hoxc6b,hoxc3a,0.02619164,0.02619164,3.022279615640867e-14,13.519665358027366,TDR127,5,fast_muscle,filtered
foxc1a,syncrip,0.026068978,0.026068978,1.4494156645329305e-12,11.838807049362813,TDR127,5,fast_muscle,filtered
sox9a,tp63,0.025969919,0.025969919,9.521343899805481e-08,7.02130174835103,TDR127,5,fast_muscle,filtered
foxb1b,apoeb,0.025887724,0.025887724,6.52022745563183e-09,8.185737253807533,TDR127,5,fast_muscle,filtered
fli1b,eef1a1l1,0.025794175,0.025794175,3.302196876830125e-06,5.481197037683747,TDR127,5,fast_muscle,filtered
meox1,hoxc3a,0.025681414,0.025681414,1.0627346865041765e-15,14.97357514429041,TDR127,5,fast_muscle,filtered
foxn3,bcam,0.025650155,0.025650155,2.5087004099237386e-10,9.600551199221682,TDR127,5,fast_muscle,filtered
gata2a,pcdh19,0.025583306,0.025583306,2.0736717896022298e-09,8.683259980465934,TDR127,5,fast_muscle,filtered
gata3,pcdh19,0.025562022,0.025562022,1.364904561608336e-07,6.864897714788739,TDR127,5,fast_muscle,filtered
vox,nectin1b,-0.025518507,0.025518507,1.1662954368329268e-08,7.933191423561475,TDR127,5,fast_muscle,filtered
sox19a,nucks1a,0.02549858,0.02549858,9.329238679428672e-16,15.03015379578337,TDR127,5,fast_muscle,filtered
irx1b,histh1l,0.02547019,0.02547019,3.3724500284925754e-10,9.472054476796373,TDR127,5,fast_muscle,filtered
foxd2,kirrel3l,0.025393898,0.025393898,3.686667604873383e-08,7.433366017228936,TDR127,5,fast_muscle,filtered
xbp1,cdx4,0.025369428,0.025369428,3.0108949066772144e-14,13.521304402988305,TDR127,5,fast_muscle,filtered
fli1a,apoeb,0.025364012,0.025364012,3.746157499790529e-09,8.426413967523512,TDR127,5,fast_muscle,filtered
meis1a,fgfrl1a,0.025282,0.025282,2.250730029566682e-13,12.647676594604516,TDR127,5,fast_muscle,filtered
drgx,rps5,0.025266558,0.025266558,1.0634747076408766e-15,14.97327283435798,TDR127,5,fast_muscle,filtered
hoxb7a,hoxc3a,0.025124084,0.025124084,3.868172719219203e-17,16.4124941423116,TDR127,5,fast_muscle,filtered
rorb,fgfr2,0.02508809,0.02508809,4.975679834424223e-07,6.303147572572924,TDR127,5,fast_muscle,filtered
rxraa,cdx4,0.024940027,0.024940027,1.0391976974226774e-06,5.983301824211523,TDR127,5,fast_muscle,filtered
hmga1a,rps3a,0.024861343,0.024861343,1.2832315252602092e-21,20.891694979578638,TDR127,5,fast_muscle,filtered
irx7,histh1l,0.024686253,0.024686253,6.702073774456216e-14,13.173790795888557,TDR127,5,fast_muscle,filtered
hey1,syncrip,0.02462281,0.02462281,6.557135069759796e-12,11.18328587025339,TDR127,5,fast_muscle,filtered
gata1a,eef1a1l1,0.024602965,0.024602965,1.480659598946013e-11,10.829544773545978,TDR127,5,fast_muscle,filtered
fosb,eef1a1l1,-0.024456182,0.024456182,9.522934867427281e-07,6.021229186037793,TDR127,5,fast_muscle,filtered
meis1a,dmrt2a,0.024453964,0.024453964,7.444280239379925e-16,15.128177286249832,TDR127,5,fast_muscle,filtered
klf6a,pcdh19,0.024398316,0.024398316,6.782193235810023e-10,9.168629840619499,TDR127,5,fast_muscle,filtered
roraa,apoc1,0.024382466,0.024382466,3.58834949442522e-12,11.445105264594373,TDR127,5,fast_muscle,filtered
klf6a,bcam,0.024261687,0.024261687,6.375538784821796e-11,10.195483107931235,TDR127,5,fast_muscle,filtered
gbx2,nectin1b,-0.024236882,0.024236882,2.2394684826310956e-08,7.649855045260248,TDR127,5,fast_muscle,filtered
sox10,apoeb,0.02408745,0.02408745,4.5600225992233323e-10,9.341033004990463,TDR127,5,fast_muscle,filtered
zic2a,histh1l,0.024022419,0.024022419,3.133360730798497e-10,9.503989603721266,TDR127,5,fast_muscle,filtered
sox6,col18a1a,0.023937369,0.023937369,2.8244520256497773e-06,5.549065797515552,TDR127,5,fast_muscle,filtered
foxd5,draxin,0.023879843,0.023879843,6.562033730332441e-13,12.182961541572707,TDR127,5,fast_muscle,filtered
myf5,apoc1,0.023825573,0.023825573,1.0722583749967712e-09,8.969700552968881,TDR127,5,fast_muscle,filtered
hmga1a,cd3eap,0.02380576,0.02380576,1.8495974726394483e-14,13.732922776695709,TDR127,5,fast_muscle,filtered
tbx15,nucks1a,0.02378946,0.02378946,1.655580126617368e-10,9.781049795458168,TDR127,5,fast_muscle,filtered
tbx16,itm2cb,0.023759052,0.023759052,1.3444476451713285e-05,4.87145610519665,TDR127,5,fast_muscle,filtered
hey1,qkia,0.023675168,0.023675168,2.568798373929081e-08,7.590269982353517,TDR127,5,fast_muscle,filtered
raraa,hoxc3a,0.023448747,0.023448747,6.878383933725203e-16,15.162513586634873,TDR127,5,fast_muscle,filtered
myf5,qkia,0.023438485,0.023438485,1.1554543070034509e-11,10.937247224229555,TDR127,5,fast_muscle,filtered
foxo3b,fn1b,0.023371568,0.023371568,1.054673859459831e-11,10.976881818029552,TDR127,5,fast_muscle,filtered
meox1,dmrt2a,0.023354933,0.023354933,1.2290784916765193e-17,16.910420381219744,TDR127,5,fast_muscle,filtered
smad3a,cdx4,0.023254186,0.023254186,2.357832247139765e-09,8.627487096922499,TDR127,5,fast_muscle,filtered
hoxa11b,hoxc3a,0.023230957,0.023230957,2.303863447862785e-12,11.637543265525364,TDR127,5,fast_muscle,filtered
pnx,prmt1,0.023154734,0.023154734,1.992840381373862e-10,9.700527485175405,TDR127,5,fast_muscle,filtered
foxg1a,zbtb16a,0.023114126,0.023114126,3.7248769491578952e-06,5.428888069542375,TDR127,5,fast_muscle,filtered
hmga1a,apoc1,0.023011265,0.023011265,2.482166069644675e-12,11.605169165336267,TDR127,5,fast_muscle,filtered
myog,eef1a1l1,0.022957625,0.022957625,1.8666798666567945e-08,7.72893015664421,TDR127,5,fast_muscle,filtered
