source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
nhlh2,rps26l,0.29005486,0.29005486,1.348025155508572e-07,6.870302003352163,TDR128,10,hemangioblasts,filtered
nr2e3,rps26l,0.13674113,0.13674113,0.00014615520135175404,3.835185724417597,TDR128,10,hemangioblasts,filtered
hmga1a,rrm2,0.11823923,0.11823923,2.8465038741925854e-16,15.54568822076186,TDR128,10,hemangioblasts,filtered
pitx2,he1.1,0.11695915,0.11695915,4.658408454142522e-07,6.33176243473583,TDR128,10,hemangioblasts,filtered
hmga1a,apoc1,0.097787715,0.097787715,1.8533644493521257e-14,13.732039171733746,TDR128,10,hemangioblasts,filtered
foxa3,zgc:174855,0.08843047,0.08843047,1.5321851821900285e-07,6.814688742051312,TDR128,10,hemangioblasts,filtered
foxa3,ctslb,0.07982043,0.07982043,1.7379782588827634e-06,5.7599556606297595,TDR128,10,hemangioblasts,filtered
klf7b,etv2,0.07546928,0.07546928,1.8596943034222755e-11,10.73055843924874,TDR128,10,hemangioblasts,filtered
rarga,apoc1,0.07524989,0.07524989,5.272143224184974e-12,11.278012800115809,TDR128,10,hemangioblasts,filtered
tbx16,itm2cb,0.07464415,0.07464415,6.141006840340874e-17,16.211760418865897,TDR128,10,hemangioblasts,filtered
six3a,apoeb,-0.07318827,0.07318827,7.487276957609367e-15,14.12567610183432,TDR128,10,hemangioblasts,filtered
hmga1a,apoeb,0.07298568,0.07298568,8.791023154789248e-13,12.05596057605024,TDR128,10,hemangioblasts,filtered
mef2aa,hbbe3,0.071852386,0.071852386,1.3796532869520898e-15,14.860230040035056,TDR128,10,hemangioblasts,filtered
rarga,serpinh1b,0.070571706,0.070571706,1.6131376660974372e-12,11.792328568088264,TDR128,10,hemangioblasts,filtered
foxa3,he1.1,0.06937884,0.06937884,3.911994607307809e-05,4.407601752559813,TDR128,10,hemangioblasts,filtered
rxraa,serpinh1b,0.06804997,0.06804997,2.079654475433968e-12,11.682008814978355,TDR128,10,hemangioblasts,filtered
irx1b,rrm2,0.06780698,0.06780698,1.5431666813742896e-05,4.811587162147156,TDR128,10,hemangioblasts,filtered
smad3a,morc3b,0.06630558,0.06630558,2.953334446400462e-11,10.529687369153553,TDR128,10,hemangioblasts,filtered
myb,morc3b,0.06592887,0.06592887,9.579883835510628e-18,17.018639757090828,TDR128,10,hemangioblasts,filtered
foxi2,si:dkey-26g8.5,0.065654986,0.065654986,3.7978139868120694e-07,6.420466310394004,TDR128,10,hemangioblasts,filtered
raraa,apoc1,0.06441638,0.06441638,5.531303260628718e-11,10.257172530139199,TDR128,10,hemangioblasts,filtered
sox5,apoeb,0.06383812,0.06383812,2.796668341251376e-13,12.553359033844712,TDR128,10,hemangioblasts,filtered
pitx2,he1.2,0.06315883,0.06315883,5.650627710260291e-07,6.247903305108001,TDR128,10,hemangioblasts,filtered
hoxc6b,hoxc3a,0.06076538,0.06076538,1.2056619513801453e-19,18.918774444459775,TDR128,10,hemangioblasts,filtered
nkx2.7,bcam,0.059801802,0.059801802,2.6437540542283495e-10,9.577778949284609,TDR128,10,hemangioblasts,filtered
tp63,bcam,0.05938054,0.05938054,6.404738853332644e-08,7.193498573471012,TDR128,10,hemangioblasts,filtered
irx7,bcam,0.05843428,0.05843428,1.2312727100393156e-09,8.909645746135915,TDR128,10,hemangioblasts,filtered
hoxb6b,hoxc3a,0.058060996,0.058060996,1.793456907298624e-17,16.74630905397394,TDR128,10,hemangioblasts,filtered
cebpd,apoeb,0.05733754,0.05733754,2.8412678236134314e-10,9.546487826877115,TDR128,10,hemangioblasts,filtered
etv5a,apoeb,0.057208948,0.057208948,4.1724311279874777e-16,15.37961082324832,TDR128,10,hemangioblasts,filtered
rarga,szl,0.056861,0.056861,9.467203741780705e-10,9.023778276418172,TDR128,10,hemangioblasts,filtered
klf6a,etv2,0.054358676,0.054358676,2.7264395783405154e-09,8.564404122434913,TDR128,10,hemangioblasts,filtered
cebpd,apoc1,0.054147862,0.054147862,1.5745525332646618e-12,11.802842845013872,TDR128,10,hemangioblasts,filtered
raraa,serpinh1b,0.05373832,0.05373832,1.9156141270438034e-16,15.717691968834197,TDR128,10,hemangioblasts,filtered
gata1a,gfi1aa,0.053681288,0.053681288,1.3011393353248948e-22,21.885676193582487,TDR128,10,hemangioblasts,filtered
vent,tbx16,0.05242503,0.05242503,1.614048497714208e-13,12.79208342006424,TDR128,10,hemangioblasts,filtered
hmga1a,rpl11,0.052102398,0.052102398,1.3727517019016258e-17,16.86240800919132,TDR128,10,hemangioblasts,filtered
tbx20,fn1a,0.051276814,0.051276814,2.6765707761329893e-12,11.572421268149181,TDR128,10,hemangioblasts,filtered
myf5,apoc1,0.051116206,0.051116206,3.4988078673090165e-09,8.456079905604692,TDR128,10,hemangioblasts,filtered
hmga1a,rps19,0.05067949,0.05067949,7.876590698870855e-19,18.103661721731427,TDR128,10,hemangioblasts,filtered
nfatc3a,ctslb,0.0500045,0.0500045,7.005627524985784e-06,5.1545529569617425,TDR128,10,hemangioblasts,filtered
her6,apoeb,0.049964353,0.049964353,5.6190340146813e-11,10.250338338906403,TDR128,10,hemangioblasts,filtered
rxraa,hoxc3a,0.049952433,0.049952433,8.572295806807617e-12,11.066902851040416,TDR128,10,hemangioblasts,filtered
rfx6,bcam,0.049920756,0.049920756,6.534607012622174e-10,9.18478052550985,TDR128,10,hemangioblasts,filtered
xbp1,apoc1,0.049806662,0.049806662,5.005444704626526e-09,8.300557331933762,TDR128,10,hemangioblasts,filtered
arid3c,fn1b,0.049632728,0.049632728,8.470113121282691e-13,12.072110789477936,TDR128,10,hemangioblasts,filtered
rarga,hoxc3a,0.049532406,0.049532406,9.978624449452297e-13,12.000929321957704,TDR128,10,hemangioblasts,filtered
rarga,rxraa,0.049256843,0.049256843,8.28274483122815e-12,11.081825717863163,TDR128,10,hemangioblasts,filtered
hmga1a,eef1a1l1,0.047276776,0.047276776,7.036725938473476e-18,17.152629363243808,TDR128,10,hemangioblasts,filtered
hmga1a,rps18,0.0464087,0.0464087,1.8671422660863785e-16,15.72882258991254,TDR128,10,hemangioblasts,filtered
