source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
nhlh2,rps26l,0.3473182,0.3473182,3.869817294390195e-11,10.412309538834124,TDR128,10,lateral_plate_mesoderm,filtered
nr2e3,rps26l,0.15516591,0.15516591,8.764020731757319e-13,12.057296603763414,TDR128,10,lateral_plate_mesoderm,filtered
sox11a,cdh11,0.13449201,0.13449201,5.585010134898263e-17,16.25297603445054,TDR128,10,lateral_plate_mesoderm,filtered
elk3,cdh11,0.1329983,0.1329983,1.3290192663078351e-17,16.876468723202844,TDR128,10,lateral_plate_mesoderm,filtered
hmga1a,apoc1,0.109579295,0.109579295,1.070222119087319e-11,10.970526077377558,TDR128,10,lateral_plate_mesoderm,filtered
fli1a,cdh11,0.10367089,0.10367089,4.212460180407952e-15,14.375464191405076,TDR128,10,lateral_plate_mesoderm,filtered
myf5,apoc1,0.10154923,0.10154923,9.317728429428772e-10,9.030689951466597,TDR128,10,lateral_plate_mesoderm,filtered
hmga1a,rrm2,0.09681617,0.09681617,8.422002031571829e-12,11.074584658154375,TDR128,10,lateral_plate_mesoderm,filtered
tbx16,itm2cb,0.09456076,0.09456076,4.165680899732442e-10,9.380314001021288,TDR128,10,lateral_plate_mesoderm,filtered
rarga,apoc1,0.087142065,0.087142065,2.57695319461007e-09,8.588893469499997,TDR128,10,lateral_plate_mesoderm,filtered
hmga1a,apoeb,0.08384397,0.08384397,1.1613261000518765e-11,10.935045813364525,TDR128,10,lateral_plate_mesoderm,filtered
rarga,serpinh1b,0.07470837,0.07470837,8.719289100098823e-11,10.059518922463074,TDR128,10,lateral_plate_mesoderm,filtered
rxraa,serpinh1b,0.07425291,0.07425291,4.049973560751705e-09,8.392547811959929,TDR128,10,lateral_plate_mesoderm,filtered
klf12b,cdh11,0.07174456,0.07174456,3.18004478310937e-11,10.497566764002883,TDR128,10,lateral_plate_mesoderm,filtered
six1a,pknox2,0.0696768,0.0696768,2.8670949056108286e-17,16.542557930945772,TDR128,10,lateral_plate_mesoderm,filtered
hoxc6b,hoxc3a,0.06782081,0.06782081,4.288629421104399e-14,13.367681479366585,TDR128,10,lateral_plate_mesoderm,filtered
etv5a,apoeb,0.06647933,0.06647933,2.7238937467144337e-15,14.564809837330326,TDR128,10,lateral_plate_mesoderm,filtered
tp63,bcam,0.06547266,0.06547266,2.014837664225314e-10,9.695759939285276,TDR128,10,lateral_plate_mesoderm,filtered
raraa,cdh11,0.06481475,0.06481475,1.1719618220008175e-11,10.931086535727857,TDR128,10,lateral_plate_mesoderm,filtered
klf7b,bcam,0.06431504,0.06431504,1.1877883390249893e-13,12.92526094267405,TDR128,10,lateral_plate_mesoderm,filtered
hoxb6b,hoxc3a,0.062844194,0.062844194,6.726029808757537e-14,13.172241212288968,TDR128,10,lateral_plate_mesoderm,filtered
cebpa,apoc1,0.06269432,0.06269432,4.637268125913552e-13,12.333737792558322,TDR128,10,lateral_plate_mesoderm,filtered
arid3c,serpinh1b,0.061733566,0.061733566,2.0036467706115863e-12,11.698178839239734,TDR128,10,lateral_plate_mesoderm,filtered
etv5a,cdh11,-0.061414286,0.061414286,1.5140189775196357e-14,13.819868681123658,TDR128,10,lateral_plate_mesoderm,filtered
pknox2,foxp4,0.060505606,0.060505606,1.5041331329756643e-18,17.822713722017117,TDR128,10,lateral_plate_mesoderm,filtered
rxraa,apoc1,0.0589846,0.0589846,1.2715933083322965e-08,7.895651766194513,TDR128,10,lateral_plate_mesoderm,filtered
pknox2,pcdh7b,0.058699306,0.058699306,3.4819460202111844e-16,15.458177965931535,TDR128,10,lateral_plate_mesoderm,filtered
pknox2,nrp2b,0.05835878,0.05835878,6.167599001238516e-13,12.209883870561939,TDR128,10,lateral_plate_mesoderm,filtered
pknox2,foxp1b,0.058028277,0.058028277,2.6790999235872943e-20,19.572011088014307,TDR128,10,lateral_plate_mesoderm,filtered
hmga1a,rpl11,0.05777062,0.05777062,1.883281505583104e-18,17.725084758483753,TDR128,10,lateral_plate_mesoderm,filtered
pknox2,ebf3a,0.05764183,0.05764183,5.395943463649679e-14,13.267932609325115,TDR128,10,lateral_plate_mesoderm,filtered
hmga1a,rps19,0.055739004,0.055739004,8.552428118338918e-19,18.06791056729665,TDR128,10,lateral_plate_mesoderm,filtered
raraa,prickle1b,0.055137396,0.055137396,7.662251859762067e-11,10.115643576771218,TDR128,10,lateral_plate_mesoderm,filtered
raraa,apoc1,0.05396299,0.05396299,3.889425689732137e-08,7.410114521603319,TDR128,10,lateral_plate_mesoderm,filtered
