source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
nr1d4a,apoc1,0.03469029,0.03469029,1.8746544943342582e-10,9.727078762619325,TDR128,10,primordial_germ_cells,filtered
hmga1a,apoc1,0.030589826,0.030589826,8.855573124342017e-10,9.052783326434994,TDR128,10,primordial_germ_cells,filtered
hmga1a,apoeb,0.030016882,0.030016882,7.070632051545645e-14,13.150541762408276,TDR128,10,primordial_germ_cells,filtered
gbx2,actb2,0.027121937,0.027121937,1.3302722061617072e-14,13.876059482688525,TDR128,10,primordial_germ_cells,filtered
hmga1a,rrm2,0.026233058,0.026233058,8.124823084457011e-13,12.09018608687593,TDR128,10,primordial_germ_cells,filtered
phox2bb,actb2,0.026089873,0.026089873,1.3179007450019904e-13,12.880117296510683,TDR128,10,primordial_germ_cells,filtered
tfe3b,apoeb,0.025435226,0.025435226,1.2520882373842496e-06,5.902365064369389,TDR128,10,primordial_germ_cells,filtered
creb5a,rpl13a,0.025155423,0.025155423,1.5795715887853364e-14,13.801460686371755,TDR128,10,primordial_germ_cells,filtered
cebpd,apoc1,0.02494023,0.02494023,5.755981494886293e-11,10.239880610962272,TDR128,10,primordial_germ_cells,filtered
gcm2,id1,0.024253119,0.024253119,1.5892856652918446e-07,6.798798033749546,TDR128,10,primordial_germ_cells,filtered
phox2bb,hmga1a,0.023305584,0.023305584,1.6695188499691478e-15,14.777408673110736,TDR128,10,primordial_germ_cells,filtered
foxc1a,actb2,0.023161633,0.023161633,2.939254926045247e-12,11.53176274527361,TDR128,10,primordial_germ_cells,filtered
phox2bb,mki67,0.02279737,0.02279737,2.069728961514433e-10,9.68408652325112,TDR128,10,primordial_germ_cells,filtered
mef2b,chsy1,0.02267271,0.02267271,1.0345059385614317e-10,9.985267011931976,TDR128,10,primordial_germ_cells,filtered
sox1b,apoeb,0.022439227,0.022439227,2.672810731881642e-08,7.5730317935852725,TDR128,10,primordial_germ_cells,filtered
noto,actb2,0.02190908,0.02190908,1.0136273654446311e-15,14.994121673083999,TDR128,10,primordial_germ_cells,filtered
foxi3a,actb2,0.021767972,0.021767972,3.8123994006875247e-10,9.41880160739669,TDR128,10,primordial_germ_cells,filtered
irx7,actb2,0.021461377,0.021461377,1.5519947978869438e-13,12.809109738781942,TDR128,10,primordial_germ_cells,filtered
pax1b,rpl13a,0.021433199,0.021433199,6.658451796213212e-10,9.176626739977582,TDR128,10,primordial_germ_cells,filtered
sox2,apoc1,0.021027809,0.021027809,1.3136161792784853e-12,11.881531511162443,TDR128,10,primordial_germ_cells,filtered
phox2bb,cirbpa,0.020793358,0.020793358,6.163237686818897e-11,10.210191083269914,TDR128,10,primordial_germ_cells,filtered
foxi3b,akap12b,0.020766843,0.020766843,1.2488260076202652e-07,6.903498065384175,TDR128,10,primordial_germ_cells,filtered
her6,apoeb,0.020718014,0.020718014,3.9055173254706027e-13,12.408321431257473,TDR128,10,primordial_germ_cells,filtered
creb3l1,apoeb,-0.020708835,0.020708835,4.030620900434579e-08,7.394628047441528,TDR128,10,primordial_germ_cells,filtered
foxc1a,id1,0.020699035,0.020699035,5.568305463558643e-09,8.254276948415608,TDR128,10,primordial_germ_cells,filtered
irx7,apoc1,0.020687902,0.020687902,2.738154371979771e-05,4.562542070807923,TDR128,10,primordial_germ_cells,filtered
phox2bb,nucks1a,0.020676306,0.020676306,5.277828051421316e-10,9.277544762947977,TDR128,10,primordial_germ_cells,filtered
junba,apoeb,0.020661011,0.020661011,3.78744510521094e-11,10.421653653057756,TDR128,10,primordial_germ_cells,filtered
irx7,rpl13a,0.020536125,0.020536125,1.935916294064956e-12,11.713113424822875,TDR128,10,primordial_germ_cells,filtered
xbp1,apoc1,0.02042039,0.02042039,1.8224580449387892e-11,10.739342460848837,TDR128,10,primordial_germ_cells,filtered
hmga1a,rpl11,0.02015304,0.02015304,8.659856385091586e-17,16.062489310255103,TDR128,10,primordial_germ_cells,filtered
grhl1,rrm2,0.020048926,0.020048926,9.108729633576658e-09,8.040542188515337,TDR128,10,primordial_germ_cells,filtered
phox2bb,cx43.4,0.019931098,0.019931098,1.1867098018760134e-09,8.92565547047466,TDR128,10,primordial_germ_cells,filtered
irx7,rrm2,0.019761214,0.019761214,6.453134569553611e-11,10.190229278298238,TDR128,10,primordial_germ_cells,filtered
etv5a,apoeb,0.01953682,0.01953682,3.5203902934867062e-12,11.453409185126645,TDR128,10,primordial_germ_cells,filtered
zgc:162612,actb2,0.01947145,0.01947145,5.365229165597938e-10,9.270411723235947,TDR128,10,primordial_germ_cells,filtered
gbx2,nucks1a,0.019352611,0.019352611,6.327296502055175e-13,12.198781813685425,TDR128,10,primordial_germ_cells,filtered
creb5a,nucks1a,0.01930647,0.01930647,2.150879781077314e-10,9.6673838629151,TDR128,10,primordial_germ_cells,filtered
six6b,akap12b,0.019125417,0.019125417,8.681546311413884e-09,8.061402913682503,TDR128,10,primordial_germ_cells,filtered
gcm2,ptmab,0.018993717,0.018993717,2.582262982800473e-12,11.587999530403025,TDR128,10,primordial_germ_cells,filtered
