source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
sox21a,cdon,-0.26808357,0.26808357,1.912141343013626e-12,11.71848000838728,TDR118,15,hindbrain,filtered
irx3a,cdon,-0.21903475,0.21903475,5.679169667383199e-07,6.245715156407652,TDR118,15,hindbrain,filtered
nr2f5,cdon,0.20628218,0.20628218,4.4283441197221264e-13,12.35375863813443,TDR118,15,hindbrain,filtered
meis1b,tenm4,0.17504065,0.17504065,2.2676744065301436e-18,17.64441930145382,TDR118,15,hindbrain,filtered
meis1b,zbtb16a,0.1644515,0.1644515,7.295594274645838e-12,11.136939326157432,TDR118,15,hindbrain,filtered
irx3a,egfl6,0.1626816,0.1626816,1.2702960356758088e-16,15.896095057250026,TDR118,15,hindbrain,filtered
sox13,zbtb16a,0.16177629,0.16177629,6.90168175301357e-14,13.161045070558389,TDR118,15,hindbrain,filtered
rfx4,zbtb16a,0.1572803,0.1572803,7.661715065497309e-13,12.115674003199091,TDR118,15,hindbrain,filtered
foxp4,ackr3b,0.15420924,0.15420924,9.457129338790529e-18,17.024240671369878,TDR118,15,hindbrain,filtered
irx3a,kirrel3l,0.15287536,0.15287536,2.9768507339496605e-10,9.526242941318078,TDR118,15,hindbrain,filtered
irx1b,cdon,0.1501317,0.1501317,5.011473705321841e-13,12.300034543997914,TDR118,15,hindbrain,filtered
nfatc1,pcdh2g28,0.14182906,0.14182906,1.3898124022096808e-10,9.857043817144124,TDR118,15,hindbrain,filtered
pax6a,fgfr3,0.13837573,0.13837573,1.3445272901995234e-16,15.871430378369812,TDR118,15,hindbrain,filtered
foxp4,cntfr,0.1330352,0.1330352,1.172679780812514e-17,16.930820562830743,TDR118,15,hindbrain,filtered
gata2a,actb2,0.13240007,0.13240007,2.9946575425296207e-07,6.523652834674768,TDR118,15,hindbrain,filtered
hmga1a,rrm2,0.13230835,0.13230835,4.354262782251498e-14,13.361085364583406,TDR118,15,hindbrain,filtered
sox11a,cdon,0.13146016,0.13146016,6.274244168282748e-09,8.20243858431942,TDR118,15,hindbrain,filtered
foxp4,gli3,0.12934789,0.12934789,4.443612471269098e-11,10.352263823027302,TDR118,15,hindbrain,filtered
tfap2c,stm,0.12807372,0.12807372,3.522055919688747e-15,14.453203753019661,TDR118,15,hindbrain,filtered
tead1b,tenm4,0.12624918,0.12624918,2.795327652598689e-15,14.553567279235304,TDR118,15,hindbrain,filtered
rarab,hoxb3a,0.12537754,0.12537754,7.339291556836605e-20,19.13434585940349,TDR118,15,hindbrain,filtered
hmga1a,apoeb,0.12421994,0.12421994,2.1309146814527526e-18,17.671433938420968,TDR118,15,hindbrain,filtered
hoxb9a,actb2,0.123036094,0.123036094,9.346694476097495e-14,13.029341953256955,TDR118,15,hindbrain,filtered
myf5,apoc1,0.122897856,0.122897856,1.4247912717726039e-11,10.846248754011269,TDR118,15,hindbrain,filtered
rfx4,cntfr,0.12264507,0.12264507,1.0417123301031151e-17,16.98225219533351,TDR118,15,hindbrain,filtered
nr2f5,kirrel3l,0.12017618,0.12017618,5.632914928278696e-10,9.249266807695614,TDR118,15,hindbrain,filtered
sox13,cdon,0.12010419,0.12010419,4.459168986033397e-07,6.350746069181856,TDR118,15,hindbrain,filtered
foxp4,agrn,0.11859214,0.11859214,7.39090723311315e-15,14.131302248729433,TDR118,15,hindbrain,filtered
sox21a,nlgn3a,0.11648894,0.11648894,1.8474014985674086e-14,13.733438708423837,TDR118,15,hindbrain,filtered
msx1b,ntn1a,-0.11565177,0.11565177,2.302180306728634e-14,13.637860665436573,TDR118,15,hindbrain,filtered
rfx4,tenm4,0.11350263,0.11350263,1.4488661046018363e-08,7.838971747530501,TDR118,15,hindbrain,filtered
hmga1a,hsp90ab1,0.11268688,0.11268688,8.473496733018516e-17,16.07193733365147,TDR118,15,hindbrain,filtered
nr2f5,gli3,0.11192441,0.11192441,1.8998013475837073e-12,11.721291808604356,TDR118,15,hindbrain,filtered
rfx4,epha4b,0.111803494,0.111803494,2.495995251075392e-16,15.602756245285173,TDR118,15,hindbrain,filtered
irx1b,actb2,0.11170587,0.11170587,4.260548477533241e-18,17.370534488823758,TDR118,15,hindbrain,filtered
foxp1b,hs6st1a,0.109563544,0.109563544,2.379308721522958e-12,11.62354920346289,TDR118,15,hindbrain,filtered
hmga1a,ncl,0.10850139,0.10850139,2.2460376127382522e-20,19.648582975203727,TDR118,15,hindbrain,filtered
tbx16,itm2cb,0.107762575,0.107762575,3.588733171327464e-20,19.44505883103093,TDR118,15,hindbrain,filtered
foxp1b,kirrel3l,0.10679586,0.10679586,2.91247365594323e-14,13.535737994250983,TDR118,15,hindbrain,filtered
meis2a,chl1a,0.105910234,0.105910234,2.914670581402897e-14,13.535410522470421,TDR118,15,hindbrain,filtered
nfatc3a,pcdh2g28,0.10389924,0.10389924,5.767219290691419e-13,12.239033534816505,TDR118,15,hindbrain,filtered
foxd3,slc1a3a,0.103861496,0.103861496,5.687442235837993e-12,11.245083001197989,TDR118,15,hindbrain,filtered
hmga1a,ptmab,0.10345155,0.10345155,9.70517140944323e-18,17.012996789846156,TDR118,15,hindbrain,filtered
nr2f5,agrn,0.10325047,0.10325047,1.53061057488957e-14,13.815135290483685,TDR118,15,hindbrain,filtered
foxp4,rnf220a,0.10273631,0.10273631,8.316539026635045e-14,13.08005737014544,TDR118,15,hindbrain,filtered
sox7,nlgn3a,-0.10194527,0.10194527,2.4714455535760854e-12,11.607048952689317,TDR118,15,hindbrain,filtered
smad3a,cdx4,0.10170892,0.10170892,1.6423154173691912e-06,5.7845434301229375,TDR118,15,hindbrain,filtered
hmga1a,hmgn2,0.1008733,0.1008733,6.598414209255903e-17,16.180560425506666,TDR118,15,hindbrain,filtered
hmga1a,apoc1,0.10018963,0.10018963,2.8271883850057437e-11,10.548645252054301,TDR118,15,hindbrain,filtered
sox6,cdon,-0.099369526,0.099369526,2.026181077143377e-10,9.693321744913522,TDR118,15,hindbrain,filtered
pax6b,pax6a,0.09909099,0.09909099,3.0416600561456805e-16,15.516889325453914,TDR118,15,hindbrain,filtered
gli3,ptprfb,0.09898779,0.09898779,1.0562219123634094e-12,11.976244826887479,TDR118,15,hindbrain,filtered
foxd5,ackr3b,0.098600134,0.098600134,1.7252234472586703e-09,8.763154648053412,TDR118,15,hindbrain,filtered
meis1b,zeb2a,0.09815572,0.09815572,1.731559920119218e-17,16.761562475222306,TDR118,15,hindbrain,filtered
hmga1a,hmgb2a,0.09800886,0.09800886,3.6458283457912194e-14,13.438203782809568,TDR118,15,hindbrain,filtered
hmga1a,cfl1,0.09766175,0.09766175,1.6864804922129446e-20,19.773018677998806,TDR118,15,hindbrain,filtered
hmga1a,si:ch73-281n10.2,0.09753252,0.09753252,3.864911510552045e-22,21.412860445062318,TDR118,15,hindbrain,filtered
