source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
meis2a,cxcl12a,0.3136123,0.3136123,4.0230655819236596e-16,15.395442887728166,TDR118,15,pronephros,filtered
raraa,cdh11,0.18159373,0.18159373,7.18403929673608e-14,13.143631300740953,TDR118,15,pronephros,filtered
meis2a,sema3e,0.16384666,0.16384666,7.38046105420204e-13,12.131916507141534,TDR118,15,pronephros,filtered
irx3a,cxcl12a,-0.14808348,0.14808348,1.8710264131256964e-07,6.7279200815573015,TDR118,15,pronephros,filtered
hmga1a,rrm2,0.1462719,0.1462719,3.197200668563842e-20,19.49523010488721,TDR118,15,pronephros,filtered
nr2f5,cdon,0.13914049,0.13914049,4.716812507833404e-11,10.326351386512764,TDR118,15,pronephros,filtered
meis1b,zbtb16a,0.13393901,0.13393901,1.4077793864993115e-12,11.851465398271245,TDR118,15,pronephros,filtered
hoxc6b,hoxc3a,0.13361135,0.13361135,2.713851601969967e-16,15.56641390398933,TDR118,15,pronephros,filtered
myf5,apoc1,0.13348149,0.13348149,4.0529055878918586e-10,9.392233512995332,TDR118,15,pronephros,filtered
foxp4,agrn,0.12942743,0.12942743,3.265544730834045e-12,11.486044362976155,TDR118,15,pronephros,filtered
rarab,hoxc3a,0.12564197,0.12564197,2.561132989875367e-15,14.591567869688754,TDR118,15,pronephros,filtered
hmga1a,apoeb,0.120870605,0.120870605,1.5921027920117475e-16,15.798028896044123,TDR118,15,pronephros,filtered
nfatc1,pcdh2g28,0.11947779,0.11947779,9.358420542502899e-14,13.028797442667594,TDR118,15,pronephros,filtered
nfia,cxcl12a,-0.11817379,0.11817379,7.110698562698098e-09,8.148087731615906,TDR118,15,pronephros,filtered
sox5,sox6,0.11806188,0.11806188,9.555269539950226e-15,14.019757057634402,TDR118,15,pronephros,filtered
irx1b,cxcl12a,-0.11705803,0.11705803,1.4280199814405119e-08,7.845265715691047,TDR118,15,pronephros,filtered
foxd2,cxcl12a,0.115561575,0.115561575,3.8333456815797e-11,10.416422015383453,TDR118,15,pronephros,filtered
meis1b,fgfr2,0.11401105,0.11401105,9.876015283084004e-16,15.005418246671058,TDR118,15,pronephros,filtered
tead1b,cdon,0.113431096,0.113431096,1.941918508329968e-12,11.711768999003295,TDR118,15,pronephros,filtered
klf7b,cdh11,0.112322845,0.112322845,8.054200878744372e-10,9.093977542913057,TDR118,15,pronephros,filtered
hmga1a,hsp90ab1,0.11115794,0.11115794,1.5022388779434658e-15,14.8232610026688,TDR118,15,pronephros,filtered
sox5,zbtb16a,0.11093134,0.11093134,1.3215325594539308e-11,10.878922132405913,TDR118,15,pronephros,filtered
hmga1a,apoc1,0.110886715,0.110886715,1.106909684172587e-13,12.955887812965553,TDR118,15,pronephros,filtered
tp63,bcam,0.10933822,0.10933822,1.0208981005907935e-11,10.991017604200694,TDR118,15,pronephros,filtered
hmga1a,ncl,0.10606384,0.10606384,1.7865123132430336e-23,22.74799398614776,TDR118,15,pronephros,filtered
rxraa,slc1a3a,0.10594837,0.10594837,7.566517492892413e-11,10.121103959551071,TDR118,15,pronephros,filtered
raraa,nrp2b,0.10495054,0.10495054,1.0528958376433362e-15,14.97761459118326,TDR118,15,pronephros,filtered
tead1b,fgfr2,0.1018072,0.1018072,1.3878400011675956e-12,11.857660599165959,TDR118,15,pronephros,filtered
gli2a,cxcl12a,0.101159036,0.101159036,3.3890502996711486e-09,8.469921985394693,TDR118,15,pronephros,filtered
meis1b,cxcl12a,0.10077758,0.10077758,4.009746209044451e-05,4.396883114536822,TDR118,15,pronephros,filtered
rfx4,zbtb16a,0.09991436,0.09991436,6.1302976831154445e-12,11.21251843592279,TDR118,15,pronephros,filtered
rarab,cdh11,-0.09952826,0.09952826,1.887421077389688e-09,8.724131199365404,TDR118,15,pronephros,filtered
nhlh2,cxcl12a,-0.09934707,0.09934707,9.570494247256636e-08,7.019065633454753,TDR118,15,pronephros,filtered
tfap2c,myh9a,0.098752774,0.098752774,3.2499371940899506e-15,14.488125031797656,TDR118,15,pronephros,filtered
foxn3,cdon,0.098503284,0.098503284,9.516346867167662e-10,9.021529736480147,TDR118,15,pronephros,filtered
pknox2,sox6,0.09823278,0.09823278,1.4237781384641603e-09,8.846557679763444,TDR118,15,pronephros,filtered
tbx16,itm2cb,0.09807292,0.09807292,4.4453706916058595e-21,20.352092018134393,TDR118,15,pronephros,filtered
rxraa,agrn,0.098042995,0.098042995,1.0454300109604587e-12,11.980705036850239,TDR118,15,pronephros,filtered
nr2f5,slc1a3a,0.09760382,0.09760382,1.958829537427795e-12,11.708003355825362,TDR118,15,pronephros,filtered
nr2f5,kirrel3l,0.0974723,0.0974723,5.697403244762604e-12,11.24432304142139,TDR118,15,pronephros,filtered
hoxb6b,hoxc3a,0.09715607,0.09715607,9.77368432743863e-15,14.00994169201804,TDR118,15,pronephros,filtered
hmga1a,hmgn2,0.095999114,0.095999114,3.2537120875033675e-20,19.487620879285014,TDR118,15,pronephros,filtered
rxraa,sox5,0.09587611,0.09587611,1.3598854187552758e-09,8.86649768287881,TDR118,15,pronephros,filtered
pknox2,zbtb16a,0.09587533,0.09587533,1.3874853791736267e-08,7.857771584621625,TDR118,15,pronephros,filtered
foxn3,sema3e,0.09567027,0.09567027,6.967495428726473e-07,6.156923307548928,TDR118,15,pronephros,filtered
tcf7l2,zbtb16a,0.09430129,0.09430129,6.611012010990218e-15,14.1797320538053,TDR118,15,pronephros,filtered
hmga1a,cfl1,0.09340454,0.09340454,1.9176445566716077e-22,21.717231887979512,TDR118,15,pronephros,filtered
hoxb9a,actb2,0.093149684,0.093149684,4.655789770567666e-14,13.332006638225801,TDR118,15,pronephros,filtered
rfx4,tenm4,0.092873245,0.092873245,9.902238172880275e-12,11.004266632041732,TDR118,15,pronephros,filtered
meis1b,tenm4,0.0927158,0.0927158,2.827051416549315e-15,14.548666292776634,TDR118,15,pronephros,filtered
hoxb3a,raraa,0.09245263,0.09245263,1.5520946817658952e-16,15.809081789189793,TDR118,15,pronephros,filtered
foxn3,zbtb16a,0.092296384,0.092296384,1.4920446676031787e-11,10.826218175118576,TDR118,15,pronephros,filtered
hmga1a,ptmab,0.09162236,0.09162236,1.0114320349464265e-19,18.995063295136802,TDR118,15,pronephros,filtered
meis1b,cntfr,0.09156233,0.09156233,5.8991642532651125e-18,17.229209511392547,TDR118,15,pronephros,filtered
klf6a,osr1,0.091239594,0.091239594,3.698615960586835e-11,10.431960760562587,TDR118,15,pronephros,filtered
hmga1a,si:ch73-281n10.2,0.0911141,0.0911141,3.789647935028807e-21,20.421401134880576,TDR118,15,pronephros,filtered
sox13,nova2,0.091098435,0.091098435,1.432339821339069e-16,15.843953933826981,TDR118,15,pronephros,filtered
jun,sema3e,0.090196796,0.090196796,1.0723875499520476e-09,8.969648236668375,TDR118,15,pronephros,filtered
nfia,sema3e,-0.0901413,0.0901413,6.301936952516749e-15,14.200525946022546,TDR118,15,pronephros,filtered
irx7,actb2,0.089476794,0.089476794,2.991205662833132e-13,12.524153725663796,TDR118,15,pronephros,filtered
foxd3,slc1a3a,0.089212455,0.089212455,8.764018726766303e-12,11.057296703119253,TDR118,15,pronephros,filtered
foxp1b,foxp4,0.08887931,0.08887931,7.351148119834771e-16,15.133644826471073,TDR118,15,pronephros,filtered
foxp4,gli3,0.08803252,0.08803252,6.05043131097351e-10,9.2182136651328,TDR118,15,pronephros,filtered
bcl11aa,tenm4,0.08782347,0.08782347,1.056739628877863e-09,8.976032005758908,TDR118,15,pronephros,filtered
foxp4,ackr3b,0.08678733,0.08678733,5.232106493477551e-15,14.281323425031845,TDR118,15,pronephros,filtered
hoxc6b,hoxb3a,0.08631269,0.08631269,9.4324638628116e-14,13.02537484997129,TDR118,15,pronephros,filtered
gata5,meis3,0.086174175,0.086174175,2.4126077452186205e-16,15.617513282291316,TDR118,15,pronephros,filtered
ikzf1,cxcl12a,-0.085653,0.085653,4.0976662382113205e-05,4.387463418508318,TDR118,15,pronephros,filtered
sox13,zbtb16a,0.08503681,0.08503681,1.060641068473584e-09,8.974431560824708,TDR118,15,pronephros,filtered
fli1a,osr1,-0.08495595,0.08495595,9.321950796047352e-09,8.030493193729278,TDR118,15,pronephros,filtered
hmga1a,hmgb2a,0.08468699,0.08468699,2.229327689192173e-16,15.651826089820311,TDR118,15,pronephros,filtered
pax6a,fgfr2,0.08408088,0.08408088,3.853594181542116e-12,11.414134022424902,TDR118,15,pronephros,filtered
fli1b,osr1,-0.08407445,0.08407445,4.813986758362712e-08,7.317495108655487,TDR118,15,pronephros,filtered
gata6,meis3,0.08382621,0.08382621,8.903864550285666e-15,14.050421455312044,TDR118,15,pronephros,filtered
nr5a2,agrn,0.08366297,0.08366297,7.003732937064304e-13,12.15467042257868,TDR118,15,pronephros,filtered
rarga,cdx4,0.08359915,0.08359915,5.86360603733275e-15,14.231835216668447,TDR118,15,pronephros,filtered
etv4,apoeb,0.08340822,0.08340822,6.180598293695612e-11,10.208969482342598,TDR118,15,pronephros,filtered
meis2a,cntfr,0.08320293,0.08320293,3.318349960910753e-17,16.479077814189374,TDR118,15,pronephros,filtered
nfia,slc1a3a,0.082390115,0.082390115,1.0169220165389394e-09,8.992712350012727,TDR118,15,pronephros,filtered
rarab,prickle1b,0.08195874,0.08195874,9.307767785489785e-11,10.031154460230432,TDR118,15,pronephros,filtered
lef1,zbtb16a,0.08188856,0.08188856,2.805162619494639e-13,12.552041956973945,TDR118,15,pronephros,filtered
sox5,rxraa,0.08166329,0.08166329,1.2432666783004754e-16,15.905435706038807,TDR118,15,pronephros,filtered
tfap2c,stm,0.08164995,0.08164995,1.6794398309973641e-09,8.77483555093748,TDR118,15,pronephros,filtered
msx1b,dag1,0.08128568,0.08128568,2.2561665202612595e-09,8.646628849652474,TDR118,15,pronephros,filtered
hoxb7a,hoxc3a,0.08047985,0.08047985,1.148810821898244e-13,12.939751481990568,TDR118,15,pronephros,filtered
foxp4,cntfr,0.08008363,0.08008363,8.781797686989545e-13,12.056416572291543,TDR118,15,pronephros,filtered
sox13,cdon,0.07971532,0.07971532,2.2232597448876261e-07,6.653009795428964,TDR118,15,pronephros,filtered
irx1b,rrm2,0.079313256,0.079313256,7.404710262717378e-08,7.1304919302237755,TDR118,15,pronephros,filtered
meox1,fn1b,0.078833535,0.078833535,7.597450698336119e-18,17.11933210947902,TDR118,15,pronephros,filtered
nr5a2,cdh11,-0.078643166,0.078643166,9.294718778350205e-11,10.03176374573698,TDR118,15,pronephros,filtered
rxrab,rxraa,0.07855441,0.07855441,5.757872125902319e-15,14.239737984409599,TDR118,15,pronephros,filtered
rxraa,robo1,0.07851552,0.07851552,4.136759302054888e-15,14.38333974785732,TDR118,15,pronephros,filtered
rarga,kank1a,0.07831784,0.07831784,1.3952091248885973e-19,18.85536069204754,TDR118,15,pronephros,filtered
sox6,zbtb16a,0.07825354,0.07825354,2.7552586526625534e-10,9.559837625069438,TDR118,15,pronephros,filtered
nr2f5,agrn,0.0777919,0.0777919,1.813314218868378e-06,5.741526932972075,TDR118,15,pronephros,filtered
hmga1a,npm1a,0.07772022,0.07772022,2.0273522738959666e-21,20.693070781491254,TDR118,15,pronephros,filtered
nr2f1b,kirrel3l,0.07769448,0.07769448,1.9438775321578875e-10,9.711331099895057,TDR118,15,pronephros,filtered
raraa,tmem88b,0.07766623,0.07766623,5.511887315301725e-11,10.258699669700375,TDR118,15,pronephros,filtered
sox11a,nucks1a,0.07764799,0.07764799,5.330961748752536e-15,14.27319443365686,TDR118,15,pronephros,filtered
meis1a,tp63,0.07750206,0.07750206,1.1097312132797398e-07,6.954782198443171,TDR118,15,pronephros,filtered
hmga1a,nop58,0.07737188,0.07737188,2.7111554850574233e-18,17.566845574870236,TDR118,15,pronephros,filtered
nr4a2b,sox5,0.07732459,0.07732459,5.210447405570127e-10,9.28312498352815,TDR118,15,pronephros,filtered
nr6a1b,cdh11,0.076922245,0.076922245,1.6354214915838775e-10,9.786370299347178,TDR118,15,pronephros,filtered
hoxc1a,nrp2b,0.0768425,0.0768425,7.364288851214498e-15,14.132869185400464,TDR118,15,pronephros,filtered
raraa,fbn2b,0.0768024,0.0768024,7.034234078260425e-12,11.152783183757863,TDR118,15,pronephros,filtered
nfatc3a,epcam,0.07648683,0.07648683,2.0862021310963652e-11,10.680643615292546,TDR118,15,pronephros,filtered
