source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
sox7,he1.1,0.22977746,0.22977746,3.1999110374154725e-14,13.494862095585288,TDR125,20,epidermis,filtered
cdx4,actb2,0.1807007,0.1807007,4.3127887799559855e-13,12.365241811027673,TDR125,20,epidermis,filtered
sox7,ctslb,0.17781842,0.17781842,1.1495001428587834e-12,11.939490970420994,TDR125,20,epidermis,filtered
sox21a,ctslb,0.15645312,0.15645312,1.3526280753269323e-10,9.868821602543514,TDR125,20,epidermis,filtered
sox21a,he1.1,0.15326607,0.15326607,1.5220607559766307e-08,7.817568011521581,TDR125,20,epidermis,filtered
sox5,tp63,-0.14989555,0.14989555,3.8724303252610826e-10,9.412016387545997,TDR125,20,epidermis,filtered
hoxc6b,hoxc3a,0.14657153,0.14657153,9.401787557206716e-19,18.026789566355085,TDR125,20,epidermis,filtered
jun,apoeb,0.14555922,0.14555922,5.831902085617172e-14,13.234189776190963,TDR125,20,epidermis,filtered
meis1a,tp63,0.1304009,0.1304009,1.2520668350892828e-12,11.902372487950066,TDR125,20,epidermis,filtered
sox5,he1.1,0.12629536,0.12629536,3.0657851345540544e-08,7.513458285928948,TDR125,20,epidermis,filtered
hoxc6b,actb2,-0.12565638,0.12565638,3.4108610838514637e-07,6.467135967999609,TDR125,20,epidermis,filtered
hmga1a,ncl,0.12536883,0.12536883,1.7711013079112893e-22,21.75175659623032,TDR125,20,epidermis,filtered
zic2b,actb2,0.12440377,0.12440377,1.1240815013935502e-10,9.94920219915639,TDR125,20,epidermis,filtered
stat5a,tp63,0.12256891,0.12256891,1.093891193566783e-13,12.96102587396564,TDR125,20,epidermis,filtered
hmga1a,hsp90ab1,0.1166319,0.1166319,3.059038689750359e-20,19.51441503016183,TDR125,20,epidermis,filtered
klf7b,rcn3,0.1155543,0.1155543,1.8193625367340884e-12,11.740080752275116,TDR125,20,epidermis,filtered
sox5,ctslb,0.11367401,0.11367401,5.148086539011913e-07,6.288354161243282,TDR125,20,epidermis,filtered
pax2a,cdh11,0.11319408,0.11319408,1.5372404292408149e-15,14.813258202164167,TDR125,20,epidermis,filtered
onecut1,he1.1,0.11213908,0.11213908,2.1343338521599417e-11,10.670737647324588,TDR125,20,epidermis,filtered
sox6,sparc,0.10864897,0.10864897,1.7496058125611506e-16,15.757059787149752,TDR125,20,epidermis,filtered
rfx4,tenm4,0.10830534,0.10830534,1.1643329771727957e-15,14.93392280192935,TDR125,20,epidermis,filtered
hey1,apoeb,0.106647715,0.106647715,5.738455241314169e-08,7.241205001411006,TDR125,20,epidermis,filtered
foxp4,cdon,0.105325654,0.105325654,1.719845666534161e-14,13.764510523545855,TDR125,20,epidermis,filtered
sox13,mdka,0.10461682,0.10461682,1.0851611123693142e-15,14.964505777927423,TDR125,20,epidermis,filtered
vsx1,si:dkey-239j18.2,0.10294376,0.10294376,1.64169470269126e-14,13.784707603163103,TDR125,20,epidermis,filtered
klf6a,cyt1,0.10283833,0.10283833,1.91036238051176e-15,14.718884242737188,TDR125,20,epidermis,filtered
klf6a,rcn3,0.102488816,0.102488816,1.0284481885771789e-17,16.987817582415357,TDR125,20,epidermis,filtered
hmga1a,eef1a1l1,0.10235435,0.10235435,3.237360080364392e-23,22.489808992837737,TDR125,20,epidermis,filtered
foxd3,si:dkey-26g8.5,0.099435784,0.099435784,3.0705066470474476e-10,9.512789958118027,TDR125,20,epidermis,filtered
sox3,ctslb,-0.09891292,0.09891292,2.6799969258035847e-06,5.571865704145579,TDR125,20,epidermis,filtered
hmga1a,si:ch73-281n10.2,0.09890735,0.09890735,4.11895985505614e-24,23.385212440821576,TDR125,20,epidermis,filtered
fosl2,apoeb,0.09854051,0.09854051,6.317401469236733e-08,7.19946152292613,TDR125,20,epidermis,filtered
meox1,apoc1,0.097831264,0.097831264,2.419396841180253e-14,13.616292890712327,TDR125,20,epidermis,filtered
tfap2a,si:dkey-269i1.4,0.09624392,0.09624392,1.2037719598743766e-13,12.919455777154823,TDR125,20,epidermis,filtered
sox3,he1.1,-0.0959436,0.0959436,2.470588295297694e-06,5.607199620432593,TDR125,20,epidermis,filtered
foxd3,ctslb,0.09516369,0.09516369,1.2350940726506743e-06,5.90829996250379,TDR125,20,epidermis,filtered
hmga1a,ptmab,0.094501086,0.094501086,8.485687459009775e-17,16.071312968012137,TDR125,20,epidermis,filtered
hmga1a,hmgb2a,0.09423313,0.09423313,1.5603795052196362e-21,20.80676976255691,TDR125,20,epidermis,filtered
gata1a,actb2,0.09352751,0.09352751,6.8929388269424716e-09,8.16159557574043,TDR125,20,epidermis,filtered
emx3,si:dkey-239j18.2,0.0919235,0.0919235,2.809090020895252e-13,12.551434343051316,TDR125,20,epidermis,filtered
gata1a,he1.1,0.09154974,0.09154974,2.2715175799196534e-11,10.643683897708016,TDR125,20,epidermis,filtered
hmga1a,cfl1,0.09153676,0.09153676,1.5162413055700224e-24,23.819231676449387,TDR125,20,epidermis,filtered
sox13,zbtb16a,0.09149759,0.09149759,3.5440785985405504e-10,9.450496655144487,TDR125,20,epidermis,filtered
hmga1a,rplp0,0.0912589,0.0912589,5.460646150161762e-20,19.262755964832547,TDR125,20,epidermis,filtered
tbx1,tp63,-0.0896035,0.0896035,4.395012083366462e-18,17.357039926566966,TDR125,20,epidermis,filtered
hmga1a,apoeb,0.0893056,0.0893056,1.1426501005963177e-08,7.942086737797346,TDR125,20,epidermis,filtered
tp63,bcam,0.089170344,0.089170344,6.29666379818547e-17,16.200889494643118,TDR125,20,epidermis,filtered
hmga1a,nop58,0.08730118,0.08730118,2.9467912367137565e-19,18.53065063033762,TDR125,20,epidermis,filtered
hmga1a,hmgn2,0.08725996,0.08725996,3.187895831594539e-17,16.496495878148824,TDR125,20,epidermis,filtered
nr2f1b,ntn1a,0.08522218,0.08522218,2.165309228164009e-12,11.664480073215744,TDR125,20,epidermis,filtered
hmga1a,he1.1,0.08459756,0.08459756,1.0388666674970277e-06,5.983440188040572,TDR125,20,epidermis,filtered
thrab,mdka,0.08406199,0.08406199,1.678869381772424e-08,7.77498309122474,TDR125,20,epidermis,filtered
nr2f1b,cntfr,0.083778165,0.083778165,8.749259674405933e-16,15.058028693597429,TDR125,20,epidermis,filtered
sox10,he1.1,-0.08311675,0.08311675,1.431260569243125e-08,7.844281293226417,TDR125,20,epidermis,filtered
en1b,si:dkey-239j18.2,0.08302973,0.08302973,4.199864136331529e-08,7.37676475860112,TDR125,20,epidermis,filtered
meis2a,tp63,-0.08134774,0.08134774,5.935468462212814e-09,8.226544998272148,TDR125,20,epidermis,filtered
hoxa4a,si:dkey-239j18.2,-0.08097921,0.08097921,2.992734201897198e-10,9.523931853081402,TDR125,20,epidermis,filtered
pax7b,he1.1,0.080937944,0.080937944,2.513047504111762e-07,6.5997993018655965,TDR125,20,epidermis,filtered
foxn3,zbtb16a,0.08084785,0.08084785,6.350795422389116e-14,13.197171876925312,TDR125,20,epidermis,filtered
