source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
alx4a,foxp1b,0.080316044,0.080316044,1.8708986223364575e-09,8.72794974481036,TDR125,20,notochord,filtered
foxd3,sox6,0.07300901,0.07300901,1.614864925843115e-07,6.791863798047604,TDR125,20,notochord,filtered
hoxb8a,actb2,0.07269855,0.07269855,5.118027019006065e-10,9.290897425722326,TDR125,20,notochord,filtered
alx4b,foxp1b,0.071630694,0.071630694,3.1196258158964053e-12,11.50589749439083,TDR125,20,notochord,filtered
etv4,apoeb,0.07059019,0.07059019,4.967472984908381e-15,14.303864486077659,TDR125,20,notochord,filtered
sox13,cdon,0.069854744,0.069854744,3.331470406077324e-09,8.477364040278001,TDR125,20,notochord,filtered
zbtb18,sox6,0.06801171,0.06801171,7.934527436591382e-05,4.100478933785273,TDR125,20,notochord,filtered
pax6a,tenm4,0.06797768,0.06797768,2.7414494407153957e-09,8.56201975919899,TDR125,20,notochord,filtered
zic2b,actb2,0.066776566,0.066776566,1.5744697517049183e-08,7.802865678497637,TDR125,20,notochord,filtered
mafba,tenm4,0.06349728,0.06349728,7.190660477007428e-10,9.143231216940364,TDR125,20,notochord,filtered
nr2f1b,tenm4,0.061527,0.061527,6.209933540020816e-08,7.2069130477069425,TDR125,20,notochord,filtered
rfx4,tenm4,0.06060523,0.06060523,9.202832233691148e-11,10.03607849502726,TDR125,20,notochord,filtered
sox5,apoeb,0.060392447,0.060392447,3.521166661766425e-11,10.453313418675188,TDR125,20,notochord,filtered
cdx4,actb2,0.059923243,0.059923243,6.3468658488762635e-09,8.197440681094976,TDR125,20,notochord,filtered
tbx15,col11a1a,0.05928078,0.05928078,2.4808914725445595e-13,12.605392233674563,TDR125,20,notochord,filtered
esrrga,hoxc3a,0.05901375,0.05901375,7.818588040222631e-12,11.106871669153215,TDR125,20,notochord,filtered
creb5b,zbtb16a,0.05831692,0.05831692,3.5824979343588285e-17,16.445814051341454,TDR125,20,notochord,filtered
hoxc6b,hoxc3a,0.05634514,0.05634514,1.8021024915872939e-13,12.744220512876923,TDR125,20,notochord,filtered
hoxc10a,hoxc3a,0.056214962,0.056214962,1.24314098278568e-11,10.90547961586854,TDR125,20,notochord,filtered
foxp4,cdon,0.056198426,0.056198426,1.99963517668522e-09,8.699049231938497,TDR125,20,notochord,filtered
sox6,actc1b,0.05600979,0.05600979,4.3303036195585085e-06,5.363481651989348,TDR125,20,notochord,filtered
pknox2,rcn3,0.055631038,0.055631038,9.087372737372027e-09,8.04156165809649,TDR125,20,notochord,filtered
mafba,zbtb16a,0.055301543,0.055301543,8.000264204738999e-12,11.096895670412362,TDR125,20,notochord,filtered
sox13,mdka,0.055177085,0.055177085,7.484668829838431e-13,12.125827410892816,TDR125,20,notochord,filtered
meis1b,tenm4,0.053790655,0.053790655,3.163916279544404e-10,9.499775016897793,TDR125,20,notochord,filtered
foxn3,foxp1b,0.052782625,0.052782625,4.885776563060913e-08,7.3110663981175,TDR125,20,notochord,filtered
otpb,si:dkey-239j18.2,0.052533314,0.052533314,2.6093762463548866e-07,6.583463295397771,TDR125,20,notochord,filtered
cux2b,foxp1b,0.05250857,0.05250857,1.560890046422445e-12,11.806627688810652,TDR125,20,notochord,filtered
zic2b,egfl6,0.051904667,0.051904667,2.7261942939764205e-12,11.564443195531839,TDR125,20,notochord,filtered
hey1,sox6,0.051757775,0.051757775,1.0043159813739322e-07,6.998129626456844,TDR125,20,notochord,filtered
pax3a,mdka,0.05157705,0.05157705,5.009766419039445e-13,12.300182522693055,TDR125,20,notochord,filtered
meis1b,zbtb16a,0.051112115,0.051112115,4.3519709458777734e-13,12.361314012686503,TDR125,20,notochord,filtered
crx,he1.1,0.05077083,0.05077083,0.000360401399435746,3.4432135313277077,TDR125,20,notochord,filtered
lhx8b,myo1cb,0.050488822,0.050488822,2.8532154190878396e-06,5.544665437670186,TDR125,20,notochord,filtered
hmga1a,apoeb,0.05011725,0.05011725,3.2570848444944777e-09,8.487170928258632,TDR125,20,notochord,filtered
rfx4,boc,0.04978746,0.04978746,1.901475152120542e-08,7.720909345439064,TDR125,20,notochord,filtered
klf12b,rcn3,0.0493965,0.0493965,9.240931049511682e-10,9.03428427019819,TDR125,20,notochord,filtered
zic2b,boc,0.04866044,0.04866044,2.257795858815573e-08,7.6463153278662475,TDR125,20,notochord,filtered
sox21a,mdka,0.048159625,0.048159625,3.142425931762864e-13,12.502734950016155,TDR125,20,notochord,filtered
foxp4,actb2,0.04766763,0.04766763,2.4250715240585116e-09,8.615275447970642,TDR125,20,notochord,filtered
sox13,boc,0.047407176,0.047407176,1.7881997183632664e-11,10.747583977855955,TDR125,20,notochord,filtered
rfx4,zbtb16a,0.047144946,0.047144946,1.4425608540385864e-10,9.840865857190803,TDR125,20,notochord,filtered
pax2a,pax5,0.046137493,0.046137493,0.0008581355474208381,3.066444107434007,TDR125,20,notochord,filtered
gata1a,actb2,0.04578345,0.04578345,2.5664235407202967e-11,10.590671669777619,TDR125,20,notochord,filtered
gata6,he1.1,-0.04561752,0.04561752,5.683289972546953e-06,5.245400184837848,TDR125,20,notochord,filtered
lhx1a,col11a1a,0.04538938,0.04538938,5.75942235175188e-13,12.239621072484226,TDR125,20,notochord,filtered
tbx16,itm2cb,0.045014475,0.045014475,1.933623046785395e-14,13.713628186228833,TDR125,20,notochord,filtered
esrrga,rxraa,0.04499683,0.04499683,1.1270856808427053e-14,13.948043067713627,TDR125,20,notochord,filtered
sox3,mdka,0.044642925,0.044642925,5.157772842041436e-10,9.287537788917804,TDR125,20,notochord,filtered
sox13,zbtb16a,0.04446998,0.04446998,1.2981057871239873e-10,9.886689913936161,TDR125,20,notochord,filtered
klf6a,cdh11,0.04417412,0.04417412,3.548173966041286e-10,9.449995094973463,TDR125,20,notochord,filtered
rarga,prickle1b,0.044005603,0.044005603,3.668852373231307e-18,17.435469762973106,TDR125,20,notochord,filtered
sox11a,mdka,0.043591484,0.043591484,2.3618967236474834e-14,13.62673909627822,TDR125,20,notochord,filtered
thrab,mdka,0.043323908,0.043323908,2.5411718322392504e-08,7.594965967271476,TDR125,20,notochord,filtered
meis2a,tenm4,0.042990144,0.042990144,3.906241329519865e-08,7.408240929291589,TDR125,20,notochord,filtered
hoxb6b,hoxc3a,0.04288878,0.04288878,7.111585995714549e-11,10.14803353395715,TDR125,20,notochord,filtered
lef1,zbtb16a,0.042526394,0.042526394,6.123057544875868e-10,9.213031659018519,TDR125,20,notochord,filtered
pknox2,fgfr2,0.04139512,0.04139512,3.439902949135886e-11,10.463453810117226,TDR125,20,notochord,filtered
elk3,cdh11,0.041335836,0.041335836,5.411304402723243e-08,7.266698034963266,TDR125,20,notochord,filtered
meis2a,zbtb16a,0.041286755,0.041286755,6.524694395839118e-13,12.18543982503319,TDR125,20,notochord,filtered
sox5,sox6,0.041185092,0.041185092,4.051958946065063e-14,13.392334963506162,TDR125,20,notochord,filtered
sox11a,foxp1b,0.041033372,0.041033372,5.938391767855076e-12,11.226331154499288,TDR125,20,notochord,filtered
meis1b,chl1a,0.040529292,0.040529292,2.2708980550805254e-09,8.64380236164541,TDR125,20,notochord,filtered
foxp2,cdon,0.04005784,0.04005784,3.302916500240706e-08,7.481102405401253,TDR125,20,notochord,filtered
foxp4,ackr3b,0.039355114,0.039355114,7.808423025818654e-12,11.107436666550106,TDR125,20,notochord,filtered
klf12b,cdh11,0.039061494,0.039061494,3.9769727344157974e-11,10.400447386467718,TDR125,20,notochord,filtered
tbr1a,actb2,0.0385918,0.0385918,3.0281133096357043e-06,5.5188278779074915,TDR125,20,notochord,filtered
tbx16,apoc1,0.03848023,0.03848023,1.6576929616066127e-12,11.780495906492819,TDR125,20,notochord,filtered
barhl2,si:dkey-239j18.2,-0.037310075,0.037310075,0.0003607414487215342,3.442803954945674,TDR125,20,notochord,filtered
sp5l,tenm4,0.03717606,0.03717606,3.075321638550852e-06,5.512109455972178,TDR125,20,notochord,filtered
sox14,zbtb16a,0.03698097,0.03698097,4.3595315660276775e-06,5.360560173396253,TDR125,20,notochord,filtered
pknox2,tenm4,0.0368786,0.0368786,3.1162256782317073e-07,6.506371098091373,TDR125,20,notochord,filtered
pdx1,tenm4,-0.036857378,0.036857378,1.8203103224992042e-08,7.739854568135475,TDR125,20,notochord,filtered
