source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
zic2a,actb2,0.06811187,0.06811187,2.451312059648839e-09,8.610601398190305,TDR124,30,endocrine_pancreas,filtered
six1b,actb2,0.066204526,0.066204526,3.9989939235321276e-12,11.398049255776074,TDR124,30,endocrine_pancreas,filtered
foxa1,actb2,0.063167594,0.063167594,1.607706960973835e-10,9.793793107844873,TDR124,30,endocrine_pancreas,filtered
zic1,actb2,0.061715215,0.061715215,2.211500429931383e-15,14.655312971864438,TDR124,30,endocrine_pancreas,filtered
cebpb,apoc1,0.061149288,0.061149288,6.622419655771303e-14,13.178983301927197,TDR124,30,endocrine_pancreas,filtered
eomesa,actb2,0.059589207,0.059589207,3.0913601653228774e-13,12.509850393610247,TDR124,30,endocrine_pancreas,filtered
hmga1a,rrm2,0.054950636,0.054950636,3.2144677144291435e-15,14.492890931861016,TDR124,30,endocrine_pancreas,filtered
nr2f1b,hbae1.1,0.05451647,0.05451647,4.734121388046364e-11,10.324760610479006,TDR124,30,endocrine_pancreas,filtered
zic2b,actb2,0.049601667,0.049601667,6.397870181473485e-07,6.193964576387221,TDR124,30,endocrine_pancreas,filtered
foxd1,histh1l,0.049576066,0.049576066,1.5502027960345307e-12,11.809611484127984,TDR124,30,endocrine_pancreas,filtered
sox5,actc1b,0.049006883,0.049006883,1.8837449152015421e-16,15.724977906968164,TDR124,30,endocrine_pancreas,filtered
foxa,actb2,0.047610685,0.047610685,6.924799930719248e-12,11.159592769590562,TDR124,30,endocrine_pancreas,filtered
myod1,histh1l,0.045897905,0.045897905,1.3573189992393761e-09,8.867318071774147,TDR124,30,endocrine_pancreas,filtered
irx7,actb2,0.042078078,0.042078078,2.4684641187556183e-07,6.6075731812415714,TDR124,30,endocrine_pancreas,filtered
nr4a2a,apoc1,-0.040402494,0.040402494,6.350356386090976e-10,9.197201901138012,TDR124,30,endocrine_pancreas,filtered
bsx,zgc:174855,0.04024498,0.04024498,3.6968891735218787e-06,5.432163568644999,TDR124,30,endocrine_pancreas,filtered
pknox2,histh1l,0.039429486,0.039429486,5.475944190070615e-09,8.261540986773964,TDR124,30,endocrine_pancreas,filtered
im:7142702,tenm4,0.03872137,0.03872137,2.3844040935364264e-10,9.622620141246706,TDR124,30,endocrine_pancreas,filtered
barhl2,serbp1a,0.035571728,0.035571728,6.351432140936125e-12,11.197128337577533,TDR124,30,endocrine_pancreas,filtered
zic2a,histh1l,0.035483446,0.035483446,4.4751973898790456e-07,6.34918780427105,TDR124,30,endocrine_pancreas,filtered
nr2f1b,apoc1,0.035016518,0.035016518,3.3878503028695087e-09,8.470075787855512,TDR124,30,endocrine_pancreas,filtered
barhl2,hspa8,0.03461979,0.03461979,2.7819422460929875e-12,11.555651890326532,TDR124,30,endocrine_pancreas,filtered
foxf2b,si:dkey-269i1.4,0.03445303,0.03445303,3.9672448644242805e-06,5.40151099337854,TDR124,30,endocrine_pancreas,filtered
sox1a,actc1b,0.03388556,0.03388556,4.304697976036707e-10,9.366057313883266,TDR124,30,endocrine_pancreas,filtered
