source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
zic1,actb2,0.08566312,0.08566312,1.5468443470102904e-12,11.810553385483265,TDR124,30,enteric_neurons,filtered
hmga1a,rrm2,0.078222774,0.078222774,9.248112415661952e-12,11.033946899814016,TDR124,30,enteric_neurons,filtered
zic2b,actb2,0.07148012,0.07148012,8.160411634599058e-10,9.088287933632659,TDR124,30,enteric_neurons,filtered
zic3,actb2,0.06653734,0.06653734,1.6733489150085385e-10,9.776413493548317,TDR124,30,enteric_neurons,filtered
klf7a,rbfox1,0.06341734,0.06341734,1.799828860964676e-13,12.744768788381249,TDR124,30,enteric_neurons,filtered
klf7b,rbfox1,0.05653762,0.05653762,1.7698289555564155e-09,8.752068703834494,TDR124,30,enteric_neurons,filtered
foxa1,actb2,0.05540351,0.05540351,9.506042030197675e-10,9.022000269839012,TDR124,30,enteric_neurons,filtered
fosaa,ppfia2,0.054678123,0.054678123,4.6210099918408024e-18,17.335263092421215,TDR124,30,enteric_neurons,filtered
egr4,rbfox1,0.053174444,0.053174444,4.805378943050092e-15,14.318272359007613,TDR124,30,enteric_neurons,filtered
zic3,histh1l,0.05109813,0.05109813,3.790191571858617e-10,9.421338838449223,TDR124,30,enteric_neurons,filtered
zic1,histh1l,0.048234366,0.048234366,1.3221756000109375e-09,8.878710861755591,TDR124,30,enteric_neurons,filtered
onecut3b,nlgn3a,0.045746896,0.045746896,4.783926912551805e-21,20.320215463994128,TDR124,30,enteric_neurons,filtered
mef2aa,spock3,0.043455943,0.043455943,1.3386410248706128e-13,12.8733358694551,TDR124,30,enteric_neurons,filtered
zic2a,histh1l,0.043374717,0.043374717,1.5916897859513479e-06,5.798141570629316,TDR124,30,enteric_neurons,filtered
klf7a,nrxn1a,0.04154317,0.04154317,4.087411986161324e-15,14.388551585851168,TDR124,30,enteric_neurons,filtered
zic2a,actb2,0.040907763,0.040907763,2.1773512515898582e-07,6.662071504664869,TDR124,30,enteric_neurons,filtered
klf7b,nrxn1a,0.040319316,0.040319316,7.057405136636412e-14,13.15135495078816,TDR124,30,enteric_neurons,filtered
nr2f1b,hbae1.1,0.03963601,0.03963601,1.7224779462313389e-09,8.763846329879756,TDR124,30,enteric_neurons,filtered
eomesa,actb2,0.037504174,0.037504174,5.239867593969855e-07,6.280679687049628,TDR124,30,enteric_neurons,filtered
irx7,actb2,0.037200954,0.037200954,4.884381499526934e-10,9.311190422395295,TDR124,30,enteric_neurons,filtered
pax2a,rbfox1,0.036675617,0.036675617,1.3088469602745337e-06,5.883111131290246,TDR124,30,enteric_neurons,filtered
klf7a,nrxn3a,0.03649892,0.03649892,4.4123612768533154e-15,14.355328935461158,TDR124,30,enteric_neurons,filtered
onecut3b,tnr,0.036227204,0.036227204,3.783741338729539e-19,18.42207856016719,TDR124,30,enteric_neurons,filtered
tfap2b,rbfox1,0.03500934,0.03500934,1.791068283031272e-09,8.746887856709094,TDR124,30,enteric_neurons,filtered
zic2b,histh1l,0.034935005,0.034935005,3.589633063169657e-09,8.444949943283873,TDR124,30,enteric_neurons,filtered
ascl1a,apoc1,0.034269005,0.034269005,5.707879045083094e-13,12.24352523853734,TDR124,30,enteric_neurons,filtered
nr5a2,nrxn1a,0.03421879,0.03421879,1.1590625540487278e-12,11.935893124739529,TDR124,30,enteric_neurons,filtered
egr4,nrxn1a,0.03386262,0.03386262,1.7050166162703514e-13,12.76827138422611,TDR124,30,enteric_neurons,filtered
sox5,actc1b,0.03298406,0.03298406,6.326731530089818e-08,7.198820594096932,TDR124,30,enteric_neurons,filtered
thrab,nlgn2a,0.03289661,0.03289661,1.6945495280490383e-13,12.77094573314466,TDR124,30,enteric_neurons,filtered
irx6a,ncam2,0.032031577,0.032031577,4.71542475617627e-09,8.3264791807729,TDR124,30,enteric_neurons,filtered
gfi1aa,actc1b,-0.03178949,0.03178949,8.037770244517826e-07,6.0948644120484605,TDR124,30,enteric_neurons,filtered
irx4b,ncam2,0.031719573,0.031719573,1.269409958731457e-10,9.896398098896528,TDR124,30,enteric_neurons,filtered
thrab,ntrk3a,0.03170433,0.03170433,1.4690190562806554e-08,7.832972570456269,TDR124,30,enteric_neurons,filtered
fosaa,cacna1ab,0.031360812,0.031360812,1.0494970227271811e-13,12.979018789111109,TDR124,30,enteric_neurons,filtered
egr4,nlgn1,0.031131638,0.031131638,1.0491621040986717e-15,14.979157404583841,TDR124,30,enteric_neurons,filtered
fosaa,necab2,0.031068904,0.031068904,1.1954231141775305e-15,14.922478351093348,TDR124,30,enteric_neurons,filtered
klf7b,nrxn3a,0.030945936,0.030945936,5.307322412649108e-08,7.275124528767591,TDR124,30,enteric_neurons,filtered
