source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
hmga1a,hsp90ab1,0.1654459,0.1654459,1.073866855562246e-21,20.969049561726912,TDR124,30,floor_plate,filtered
hmga1a,hmgn2,0.1497787,0.1497787,3.572829081184477e-20,19.446987759301035,TDR124,30,floor_plate,filtered
hmga1a,stmn1a,0.14932527,0.14932527,5.753468405336423e-19,18.24007026745339,TDR124,30,floor_plate,filtered
hmga1a,ptmab,0.1458756,0.1458756,6.803144532927991e-18,17.16729030234734,TDR124,30,floor_plate,filtered
zic1,actb2,0.13656709,0.13656709,1.4649811021722956e-13,12.834167977545523,TDR124,30,floor_plate,filtered
hmga1a,rrm2,0.1233194,0.1233194,2.9854153876781305e-21,20.52499523303528,TDR124,30,floor_plate,filtered
hmga1a,marcksl1a,0.12116111,0.12116111,1.0696916535108857e-11,10.970741392854615,TDR124,30,floor_plate,filtered
hmga1a,hmgb2a,0.12047694,0.12047694,6.161293050815733e-25,24.210328134279884,TDR124,30,floor_plate,filtered
sox21a,tmsb4x,0.113788135,0.113788135,2.8331869971704754e-13,12.547724760050999,TDR124,30,floor_plate,filtered
hmga1a,eif5a2,0.11178053,0.11178053,4.87107420416741e-14,13.312375254494135,TDR124,30,floor_plate,filtered
hmga1a,pabpc1a,0.11149449,0.11149449,1.348295777040897e-10,9.870214825719005,TDR124,30,floor_plate,filtered
hmga1a,actb1,0.10889034,0.10889034,2.920222135171014e-15,14.534584111424971,TDR124,30,floor_plate,filtered
rfx4,tenm4,0.10409107,0.10409107,2.9972758499711974e-13,12.523273285547068,TDR124,30,floor_plate,filtered
rfx4,ntn1a,0.10048703,0.10048703,2.5568922471290928e-14,13.592287573680071,TDR124,30,floor_plate,filtered
msx1b,ntn1a,-0.0962484,0.0962484,5.967450328711083e-13,12.224211187244789,TDR124,30,floor_plate,filtered
sox21a,serbp1a,0.09570021,0.09570021,1.0373281372038115e-12,11.98408384184163,TDR124,30,floor_plate,filtered
meis3,tenm4,0.0947114,0.0947114,2.963660364636741e-11,10.528171567971944,TDR124,30,floor_plate,filtered
