source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
zic1,actb2,0.14661881,0.14661881,1.9830935110570823e-14,13.702656806531673,TDR124,30,heart_myocardium,filtered
zic2b,actb2,0.105248906,0.105248906,8.618536942884796e-09,8.064566452453755,TDR124,30,heart_myocardium,filtered
hmga1a,rrm2,0.0942432,0.0942432,6.114801923903038e-19,18.21361760645258,TDR124,30,heart_myocardium,filtered
rxraa,apoc1,0.086049944,0.086049944,1.0058025772074074e-11,10.997487255903875,TDR124,30,heart_myocardium,filtered
zic2a,actb2,0.082720555,0.082720555,4.5348916672796847e-10,9.343433083215706,TDR124,30,heart_myocardium,filtered
mafbb,hbae1.3,0.07117447,0.07117447,3.3283944155952596e-11,10.477765215323894,TDR124,30,heart_myocardium,filtered
mafbb,hbae1.1,0.06822232,0.06822232,9.730726317979643e-10,9.01185474204223,TDR124,30,heart_myocardium,filtered
six1b,actb2,0.06696763,0.06696763,1.0033642056929957e-08,7.9985413961797995,TDR124,30,heart_myocardium,filtered
foxa,actb2,0.06672585,0.06672585,8.691268639965502e-09,8.060916826183865,TDR124,30,heart_myocardium,filtered
zic1,histh1l,0.06295664,0.06295664,6.22572500016858e-11,10.20581006668386,TDR124,30,heart_myocardium,filtered
tbr1b,actb2,0.062434882,0.062434882,5.856608270808498e-11,10.232353823524665,TDR124,30,heart_myocardium,filtered
twist1a,pmp22a,0.05878418,0.05878418,1.2832362535679128e-15,14.891693379341953,TDR124,30,heart_myocardium,filtered
nr2f1b,tenm4,0.056375783,0.056375783,7.816349903787064e-10,9.106996007390288,TDR124,30,heart_myocardium,filtered
rfx4,tenm4,0.055698898,0.055698898,7.129404307118325e-10,9.146946755833847,TDR124,30,heart_myocardium,filtered
gata1a,hbae1.3,0.054982085,0.054982085,3.153580011591536e-05,4.501196145754577,TDR124,30,heart_myocardium,filtered
rxraa,agrn,0.051597808,0.051597808,3.743327289117928e-13,12.426742199697257,TDR124,30,heart_myocardium,filtered
tp53,serbp1a,0.049981143,0.049981143,1.5340555388098372e-10,9.814158916943741,TDR124,30,heart_myocardium,filtered
msx1b,mdkb,0.04848059,0.04848059,3.545562015856321e-10,9.450314913925421,TDR124,30,heart_myocardium,filtered
thrab,hbae1.1,0.048291545,0.048291545,9.981737517877508e-10,9.000793854629803,TDR124,30,heart_myocardium,filtered
eomesa,actb2,0.0478456,0.0478456,6.633296068328088e-07,6.178270618113715,TDR124,30,heart_myocardium,filtered
sox21a,actc1b,0.04768632,0.04768632,1.7840543252773938e-10,9.748591925291182,TDR124,30,heart_myocardium,filtered
thrab,slc4a1a,0.047192138,0.047192138,4.5904507108001933e-08,7.338144671411808,TDR124,30,heart_myocardium,filtered
bhlhe41,si:ch211-121a2.2,0.047163155,0.047163155,9.787793033122071e-10,9.009315222557206,TDR124,30,heart_myocardium,filtered
