source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
hmga1a,stmn1a,0.19606942,0.19606942,2.4773759200882084e-20,19.606008088031572,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,hsp90ab1,0.18397067,0.18397067,5.875209868046414e-18,17.23097661537,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,hmgn2,0.1584685,0.1584685,3.0941494563965814e-18,17.50945871244639,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,eif5a2,0.14067732,0.14067732,5.036165578745205e-15,14.297899999621915,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,ptmab,0.1390092,0.1390092,3.520934634567106e-18,17.453342037443395,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,pabpc1a,0.13538851,0.13538851,5.8879633661152335e-12,11.23003490076694,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,rrm2,0.1284768,0.1284768,9.905971617819026e-25,24.004102920674402,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,hmgb2a,0.12615724,0.12615724,1.4347430633297956e-20,19.843225866295153,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,serbp1a,0.121852905,0.121852905,3.433696426086556e-14,13.464238103555799,TDR124,30,midbrain_hindbrain_boundary,filtered
rfx4,tenm4,0.11747643,0.11747643,1.4513926269933498e-13,12.838215087444524,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,ncl,0.1150921,0.1150921,1.0601480361821209e-16,15.974633486803082,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,tmsb4x,0.11502419,0.11502419,4.5244143754149274e-14,13.344437626400232,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,hspa8,0.11442451,0.11442451,2.7156727375654005e-13,12.56612256754065,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,prmt1,0.11172348,0.11172348,6.809995613470138e-17,16.1668531678297,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,fabp7a,0.11051566,0.11051566,1.7802599477944434e-15,14.749516578786551,TDR124,30,midbrain_hindbrain_boundary,filtered
zic2b,actb2,0.10899272,0.10899272,1.9296539772053626e-08,7.714520561076754,TDR124,30,midbrain_hindbrain_boundary,filtered
thrab,agrn,0.103409134,0.103409134,5.8929895850943916e-15,14.2296643264494,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,fth1a,0.102747045,0.102747045,3.7223326497080655e-14,13.42918481834196,TDR124,30,midbrain_hindbrain_boundary,filtered
gata1a,boc,0.100449204,0.100449204,5.3284817254529767e-11,10.273396519339105,TDR124,30,midbrain_hindbrain_boundary,filtered
zic1,actb2,0.10009459,0.10009459,4.160024747840755e-12,11.38090408576299,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,marcksl1a,0.0963826,0.0963826,1.399938449988721e-16,15.853891058191675,TDR124,30,midbrain_hindbrain_boundary,filtered
msx1b,mdkb,0.09597718,0.09597718,4.970796232502019e-16,15.303574039499058,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,actb1,0.09591931,0.09591931,7.296505085753645e-15,14.13688511048511,TDR124,30,midbrain_hindbrain_boundary,filtered
gata1a,hbae1.1,0.09259663,0.09259663,3.179769590737429e-11,10.497604348284954,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,hspe1,0.09111284,0.09111284,9.144461215948397e-16,15.03884187770355,TDR124,30,midbrain_hindbrain_boundary,filtered
mef2aa,pax3a,0.09096997,0.09096997,9.781083295579882e-14,13.00961304263178,TDR124,30,midbrain_hindbrain_boundary,filtered
en2b,efna2a,0.08944512,0.08944512,5.999182707123945e-14,13.221907911276844,TDR124,30,midbrain_hindbrain_boundary,filtered
six1b,actb2,0.088238195,0.088238195,8.492417479312604e-14,13.070968664470097,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,hspa8,0.08712638,0.08712638,1.4270436407630647e-14,13.845562745418794,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,hmga1a,0.086686715,0.086686715,2.3740173317591364e-12,11.624516114758059,TDR124,30,midbrain_hindbrain_boundary,filtered
tp53,serbp1a,0.08539829,0.08539829,4.989287004408089e-08,7.301961512928805,TDR124,30,midbrain_hindbrain_boundary,filtered
myog,apoc1,0.0849841,0.0849841,5.0634077224371e-11,10.295557100368404,TDR124,30,midbrain_hindbrain_boundary,filtered
fosl2,tenm4,-0.08423655,0.08423655,7.698239744766965e-13,12.113608567883146,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,actb1,0.0815277,0.0815277,2.7825761080737682e-14,13.555552948156082,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,pcna,0.079822786,0.079822786,6.134448460154448e-16,15.212224478002843,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,ptmaa,0.076957285,0.076957285,2.6707501819e-11,10.573366733355028,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,mibp2,0.0760753,0.0760753,5.282844014139053e-14,13.277132212481485,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,dkc1,0.07595431,0.07595431,6.255894065086345e-13,12.203710614062334,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,prdx2,0.07449175,0.07449175,2.3954739969729584e-12,11.62060853907528,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,hmgn2,0.07379091,0.07379091,1.6366845303332804e-13,12.786035022444251,TDR124,30,midbrain_hindbrain_boundary,filtered
nhlh2,tenm4,-0.07367976,0.07367976,6.162204229531587e-09,8.210263912268866,TDR124,30,midbrain_hindbrain_boundary,filtered
rfx4,ntn1a,0.07297538,0.07297538,2.523675465683883e-12,11.59796649432674,TDR124,30,midbrain_hindbrain_boundary,filtered
mef2cb,pax3a,-0.07294615,0.07294615,1.1878816644783748e-12,11.925226821159372,TDR124,30,midbrain_hindbrain_boundary,filtered
klf17,hbbe1.1,0.07232786,0.07232786,1.1870725128357346e-16,15.925522751169623,TDR124,30,midbrain_hindbrain_boundary,filtered
tp53,ccng1,0.07222893,0.07222893,1.0399231508870048e-15,14.982998753373215,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,nap1l1,0.07162065,0.07162065,2.76916666709858e-18,17.557650904701177,TDR124,30,midbrain_hindbrain_boundary,filtered
pax7a,cntfr,0.07158744,0.07158744,6.168149624487055e-12,11.209845099888854,TDR124,30,midbrain_hindbrain_boundary,filtered
msx1b,ntn1a,-0.07146046,0.07146046,2.9544985525119124e-12,11.529516218456779,TDR124,30,midbrain_hindbrain_boundary,filtered
gata1a,hbae1.3,0.07125602,0.07125602,6.520277882456071e-08,7.185733895027956,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,ptmaa,0.07110992,0.07110992,1.151442736962551e-09,8.938757655302494,TDR124,30,midbrain_hindbrain_boundary,filtered
pknox2,tenm4,0.0709364,0.0709364,1.7194373715337496e-12,11.764613638215126,TDR124,30,midbrain_hindbrain_boundary,filtered
hmga1a,mki67,0.06965399,0.06965399,1.176860899804547e-15,14.929274865973312,TDR124,30,midbrain_hindbrain_boundary,filtered
egr4,pax7a,-0.06924704,0.06924704,1.5764571441844448e-08,7.8023178310037355,TDR124,30,midbrain_hindbrain_boundary,filtered
sox21a,hsp90ab1,0.069124766,0.069124766,4.399390580866461e-11,10.356607479354118,TDR124,30,midbrain_hindbrain_boundary,filtered
nr2f1b,tenm4,0.069028735,0.069028735,1.9203578709692385e-09,8.716617830200414,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,pabpc1a,0.068461575,0.068461575,3.5739988754081055e-12,11.44684558848514,TDR124,30,midbrain_hindbrain_boundary,filtered
rx1,hmga1a,0.066999145,0.066999145,8.692163524690769e-12,11.060872111941617,TDR124,30,midbrain_hindbrain_boundary,filtered
tp53,pcna,0.06685042,0.06685042,7.753641519672833e-13,12.110494281949764,TDR124,30,midbrain_hindbrain_boundary,filtered
