source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
hmga1a,stmn1a,0.2037379,0.2037379,9.91082179515384e-20,19.003890332769696,TDR124,30,neural_floor_plate,filtered
hmga1a,hsp90ab1,0.20058005,0.20058005,1.6617396980735054e-19,18.7794370049466,TDR124,30,neural_floor_plate,filtered
hmga1a,hmgn2,0.19043934,0.19043934,2.7857811412803825e-20,19.55505300595506,TDR124,30,neural_floor_plate,filtered
hmga1a,ptmab,0.17743245,0.17743245,1.4410540810593287e-18,17.841319720320698,TDR124,30,neural_floor_plate,filtered
hmga1a,eif5a2,0.1720278,0.1720278,6.184621364018384e-15,14.208686883674478,TDR124,30,neural_floor_plate,filtered
hmga1a,hmgb2a,0.16269998,0.16269998,9.972456255325081e-23,22.00119786006827,TDR124,30,neural_floor_plate,filtered
hmga1a,marcksl1a,0.14189413,0.14189413,1.2706586165580116e-13,12.895971114166418,TDR124,30,neural_floor_plate,filtered
hmga1a,pabpc1a,0.13924861,0.13924861,2.402563856350555e-11,10.619325060645002,TDR124,30,neural_floor_plate,filtered
hmga1a,rrm2,0.12897675,0.12897675,6.626787668982904e-22,21.178696944553973,TDR124,30,neural_floor_plate,filtered
hmga1a,actb1,0.123409584,0.123409584,4.899991607089654e-16,15.309804663848583,TDR124,30,neural_floor_plate,filtered
zic1,actb2,0.12215495,0.12215495,5.375021114860567e-14,13.269619825356651,TDR124,30,neural_floor_plate,filtered
sox21a,tmsb4x,0.12125973,0.12125973,1.5855888097307003e-13,12.799809427874791,TDR124,30,neural_floor_plate,filtered
hmga1a,prmt1,0.11863847,0.11863847,1.766135187877859e-18,17.752976056646162,TDR124,30,neural_floor_plate,filtered
hmga1a,prdx2,0.112902336,0.112902336,1.4657300051190798e-12,11.833946021567984,TDR124,30,neural_floor_plate,filtered
hmga1a,fth1a,0.109335855,0.109335855,6.37235465022961e-16,15.195700061754833,TDR124,30,neural_floor_plate,filtered
pax7a,cntfr,0.108329065,0.108329065,3.211181579465748e-14,13.493335136124442,TDR124,30,neural_floor_plate,filtered
rfx4,tenm4,0.10635241,0.10635241,2.0657280182420386e-12,11.684926859947279,TDR124,30,neural_floor_plate,filtered
msx1b,mdkb,0.09788125,0.09788125,3.1675427362982857e-16,15.499277516929663,TDR124,30,neural_floor_plate,filtered
sox21a,hmga1a,0.097366266,0.097366266,4.718099916355083e-13,12.326232866192647,TDR124,30,neural_floor_plate,filtered
hmga1a,ncl,0.09634464,0.09634464,3.6085957933134088e-16,15.442661761488496,TDR124,30,neural_floor_plate,filtered
rx1,fabp7a,0.09550738,0.09550738,4.829398929949343e-17,16.31610691845144,TDR124,30,neural_floor_plate,filtered
rfx4,cntfr,0.094861716,0.094861716,8.599196135683464e-19,18.06554214528599,TDR124,30,neural_floor_plate,filtered
msx1b,ntn1a,-0.09463532,0.09463532,4.711715810890264e-15,14.32682091208433,TDR124,30,neural_floor_plate,filtered
meis3,tenm4,0.09445489,0.09445489,5.706803574163321e-12,11.243607075431603,TDR124,30,neural_floor_plate,filtered
sox21a,serbp1a,0.09443422,0.09443422,3.900870431441803e-12,11.40883847466754,TDR124,30,neural_floor_plate,filtered
rfx4,ntn1a,0.09371598,0.09371598,7.584225204586743e-13,12.120088779618143,TDR124,30,neural_floor_plate,filtered
gata1a,hbae1.1,0.09282611,0.09282611,6.0398929914009225e-12,11.21897075569274,TDR124,30,neural_floor_plate,filtered
mef2aa,pax3a,0.09180055,0.09180055,9.006771110095455e-14,13.045430873881712,TDR124,30,neural_floor_plate,filtered
nr2f1b,tenm4,0.08995518,0.08995518,5.804476214332835e-13,12.236236964123204,TDR124,30,neural_floor_plate,filtered
tp53,serbp1a,0.08830976,0.08830976,2.431399380836482e-08,7.614143698233031,TDR124,30,neural_floor_plate,filtered
sox21a,hspa8,0.08676391,0.08676391,2.3427518099306153e-10,9.630273717927526,TDR124,30,neural_floor_plate,filtered
pax6a,fgfr3,0.08461549,0.08461549,7.144563404439562e-19,18.14602430526854,TDR124,30,neural_floor_plate,filtered
rx1,fthl27,0.084018886,0.084018886,3.762851931778811e-14,13.424482870831504,TDR124,30,neural_floor_plate,filtered
myog,apoc1,0.08376115,0.08376115,3.3610874183591336e-07,6.473520191839578,TDR124,30,neural_floor_plate,filtered
six1b,actb2,0.08305921,0.08305921,1.6213390938830506e-10,9.790126145422185,TDR124,30,neural_floor_plate,filtered
gata1a,hbae1.3,0.08211657,0.08211657,2.0212186489134538e-09,8.694386703367291,TDR124,30,neural_floor_plate,filtered
tal1,apoc1,0.081464685,0.081464685,1.623529167578063e-08,7.789539904633043,TDR124,30,neural_floor_plate,filtered
