source,target,coef_mean,coef_abs,p,-logp,timepoint_code,somite_stage,celltype,grn_type
hmga1a,hsp90ab1,0.17986806,0.17986806,8.249497706519681e-22,21.083572493865564,TDR124,30,neural_posterior,filtered
hmga1a,stmn1a,0.17891605,0.17891605,2.219270368566826e-22,21.65378978545439,TDR124,30,neural_posterior,filtered
hmga1a,hmgn2,0.1659317,0.1659317,1.101694513780749e-19,18.95793881326248,TDR124,30,neural_posterior,filtered
hmga1a,ptmab,0.15752867,0.15752867,1.3888649218640575e-17,16.857339990793506,TDR124,30,neural_posterior,filtered
hmga1a,pabpc1a,0.1512438,0.1512438,5.743102606881607e-12,11.240853424498145,TDR124,30,neural_posterior,filtered
zic1,actb2,0.14736833,0.14736833,8.890644695181521e-14,13.051066745508065,TDR124,30,neural_posterior,filtered
hmga1a,hmgb2a,0.13589807,0.13589807,1.3557714748693922e-20,19.86781350778986,TDR124,30,neural_posterior,filtered
hmga1a,eif5a2,0.13128053,0.13128053,3.4250906032215333e-15,14.465327935716457,TDR124,30,neural_posterior,filtered
hmga1a,rrm2,0.13029134,0.13029134,3.0290314793560703e-22,21.518696213217293,TDR124,30,neural_posterior,filtered
hmga1a,marcksl1a,0.12683736,0.12683736,1.828340215993983e-11,10.737942987934229,TDR124,30,neural_posterior,filtered
sox21a,tmsb4x,0.12303865,0.12303865,1.348525512089627e-12,11.870140832930081,TDR124,30,neural_posterior,filtered
meis3,tenm4,0.11808249,0.11808249,6.031301958933158e-14,13.219588927901851,TDR124,30,neural_posterior,filtered
hmga1a,actb1,0.11114928,0.11114928,8.148755211981765e-17,16.088908728174896,TDR124,30,neural_posterior,filtered
hmga1a,prmt1,0.10581855,0.10581855,1.3452047269261106e-17,16.87121161528372,TDR124,30,neural_posterior,filtered
rfx4,tenm4,0.10459696,0.10459696,1.3806358390312865e-12,11.859920857232295,TDR124,30,neural_posterior,filtered
gata1a,hbae1.1,0.10314625,0.10314625,1.5381547608534266e-11,10.812999965962872,TDR124,30,neural_posterior,filtered
rfx4,cntfr,0.100910716,0.100910716,1.3228278672637841e-15,14.87849666462664,TDR124,30,neural_posterior,filtered
hmga1a,ncl,0.09982607,0.09982607,2.617439005666073e-18,17.582123429920866,TDR124,30,neural_posterior,filtered
hmga1a,fth1a,0.09745188,0.09745188,6.407540315460494e-13,12.193308652607325,TDR124,30,neural_posterior,filtered
zic2b,actb2,0.09730656,0.09730656,1.0253548237942433e-07,6.989125821096011,TDR124,30,neural_posterior,filtered
rfx4,ntn1a,0.094190575,0.094190575,2.7983323618050942e-15,14.553100705024425,TDR124,30,neural_posterior,filtered
msx1b,mdkb,0.09255295,0.09255295,3.7638607869287454e-15,14.424366448099919,TDR124,30,neural_posterior,filtered
sox21a,serbp1a,0.09184085,0.09184085,1.053895858243231e-12,11.97720230224004,TDR124,30,neural_posterior,filtered
nhlh2,tenm4,-0.09163658,0.09163658,1.1460209796583113e-09,8.940807431874354,TDR124,30,neural_posterior,filtered
sox21a,hmga1a,0.08958064,0.08958064,3.811206064449003e-14,13.418937569140788,TDR124,30,neural_posterior,filtered
rx1,hspe1,0.08940686,0.08940686,2.47387978359559e-13,12.606621408421363,TDR124,30,neural_posterior,filtered
gata1a,hbae1.3,0.08897585,0.08897585,9.157440761194558e-06,5.03822588207314,TDR124,30,neural_posterior,filtered
fli1b,pax7a,0.08654715,0.08654715,9.051825085307304e-15,14.043263846809642,TDR124,30,neural_posterior,filtered
sox21a,hspa8,0.08427344,0.08427344,3.933152227222104e-12,11.405259244497154,TDR124,30,neural_posterior,filtered
tp53,serbp1a,0.08269286,0.08269286,6.732480468503378e-09,8.171824897839736,TDR124,30,neural_posterior,filtered
sox21a,ptmaa,0.08232877,0.08232877,4.4611604922265997e-11,10.350552152540804,TDR124,30,neural_posterior,filtered
rx1,fabp7a,0.082167596,0.082167596,7.971197617559168e-15,14.098476423946009,TDR124,30,neural_posterior,filtered
nr2f1b,tenm4,0.08212895,0.08212895,9.775528288882577e-10,9.009859763165146,TDR124,30,neural_posterior,filtered
pax7a,cntfr,0.08140494,0.08140494,1.988103739107647e-12,11.701560957893157,TDR124,30,neural_posterior,filtered
sox11a,actc1b,-0.08064749,0.08064749,8.693623922800348e-14,13.060799150869961,TDR124,30,neural_posterior,filtered
sox21a,pcna,0.07897185,0.07897185,2.7285539663159527e-13,12.564067452164343,TDR124,30,neural_posterior,filtered
hmga1a,prdx2,0.07714121,0.07714121,2.4819264366034206e-10,9.60521109497696,TDR124,30,neural_posterior,filtered
pax6a,fgfr3,0.07705262,0.07705262,6.313906277779577e-19,18.19970186896665,TDR124,30,neural_posterior,filtered
tp53,ccng1,0.07666009,0.07666009,2.970399559561482e-17,16.527185128177276,TDR124,30,neural_posterior,filtered
pbx3b,pcdh19,0.07604259,0.07604259,1.8292123917114122e-14,13.737735865221785,TDR124,30,neural_posterior,filtered
sox21a,fabp7a,0.0754141,0.0754141,5.8092240755257216e-15,14.235881871434342,TDR124,30,neural_posterior,filtered
hmga1a,dkc1,0.07534392,0.07534392,5.2265183124830305e-16,15.2817875236004,TDR124,30,neural_posterior,filtered
pbx3b,rnf220a,0.07533642,0.07533642,3.0246201122359726e-11,10.519329164323924,TDR124,30,neural_posterior,filtered
msx1b,ntn1a,-0.07409836,0.07409836,1.0976964470471254e-13,12.95951774148775,TDR124,30,neural_posterior,filtered
pbx1a,pax3a,0.07406057,0.07406057,5.1267975321226125e-15,14.290153833411594,TDR124,30,neural_posterior,filtered
hmga1a,ccnd1,0.07319531,0.07319531,6.548798412932968e-16,15.183838377947788,TDR124,30,neural_posterior,filtered
sox21a,hmgn2,0.072833546,0.072833546,2.467520029867988e-10,9.607739313298312,TDR124,30,neural_posterior,filtered
eomesa,actb2,0.07236506,0.07236506,5.487849372962986e-12,11.260597817379429,TDR124,30,neural_posterior,filtered
nr2f1b,pcdh19,0.07221016,0.07221016,9.657118062585484e-14,13.015152459118077,TDR124,30,neural_posterior,filtered
rx1,fthl27,0.071123384,0.071123384,2.5944845027240665e-13,12.585948919072552,TDR124,30,neural_posterior,filtered
hmga1a,sox21a,0.070465535,0.070465535,7.704399380453937e-18,17.113261212353976,TDR124,30,neural_posterior,filtered
hmga1a,bcas2,0.06933987,0.06933987,1.648766400189343e-12,11.782840871520598,TDR124,30,neural_posterior,filtered
foxa1,actb2,0.06852622,0.06852622,3.1620515982141655e-15,14.500031047548385,TDR124,30,neural_posterior,filtered
myog,apoc1,0.06849859,0.06849859,7.981003514253733e-05,4.0979424979597745,TDR124,30,neural_posterior,filtered
klf17,serbp1a,0.067249104,0.067249104,1.9274615886866511e-13,12.71501426800471,TDR124,30,neural_posterior,filtered
zic2a,histh1l,0.06695642,0.06695642,5.192620058469932e-10,9.284613453362295,TDR124,30,neural_posterior,filtered
sox21a,hmgb2a,0.06662193,0.06662193,5.864858989214994e-20,19.231742425311797,TDR124,30,neural_posterior,filtered
hoxa2b,hspa8,0.066249885,0.066249885,6.373059436607369e-12,11.195652031171752,TDR124,30,neural_posterior,filtered
sox21a,prdx2,0.06593754,0.06593754,4.697558618921078e-12,11.328127791809637,TDR124,30,neural_posterior,filtered
rx1,hspa8,0.06583684,0.06583684,5.6058392030850645e-11,10.251359363624323,TDR124,30,neural_posterior,filtered
rx1,fth1a,0.06541818,0.06541818,4.6943552997250624e-11,10.328424043226887,TDR124,30,neural_posterior,filtered
hmga1a,apoc1,0.06522461,0.06522461,3.300265924808034e-11,10.481451064660382,TDR124,30,neural_posterior,filtered
zic1,histh1l,0.06508964,0.06508964,1.4522050167447063e-08,7.837972067275298,TDR124,30,neural_posterior,filtered
gata1a,cahz,0.0649639,0.0649639,4.004362225054714e-06,5.397466644172938,TDR124,30,neural_posterior,filtered
rxraa,apoc1,0.06424192,0.06424192,9.672723757025234e-11,10.014451215050258,TDR124,30,neural_posterior,filtered
rx1,eif5a2,0.064023085,0.064023085,7.186445477121376e-11,10.143485865024621,TDR124,30,neural_posterior,filtered
tp53,pcna,0.0638411,0.0638411,3.771127412036191e-13,12.42352879418959,TDR124,30,neural_posterior,filtered
raraa,slc1a3a,0.06368136,0.06368136,4.455562211782842e-18,17.351097488020002,TDR124,30,neural_posterior,filtered
hoxa2b,tmsb4x,0.06292099,0.06292099,6.546601569503084e-07,6.183984089722829,TDR124,30,neural_posterior,filtered
pax7a,pax7b,0.06276899,0.06276899,9.260727881924127e-13,12.03335487695957,TDR124,30,neural_posterior,filtered
hmga1a,mki67,0.062362533,0.062362533,9.530992723407011e-14,13.020861862022322,TDR124,30,neural_posterior,filtered
hmga1a,si:ch73-21g5.7,0.062187936,0.062187936,1.0905724136550144e-07,6.96234549211493,TDR124,30,neural_posterior,filtered
klf17,fth1a,0.06202187,0.06202187,5.810415333459654e-12,11.235792822758935,TDR124,30,neural_posterior,filtered
fosl2,tenm4,-0.061881352,0.061881352,1.7585746440622042e-12,11.754839192990303,TDR124,30,neural_posterior,filtered
hmga1a,hbae3,0.061634883,0.061634883,2.5435373963059506e-10,9.594561872780051,TDR124,30,neural_posterior,filtered
sox21a,actb1,0.06140751,0.06140751,2.689414319705253e-11,10.57034228706607,TDR124,30,neural_posterior,filtered
sox6,actc1b,0.061152615,0.061152615,5.3405087064411515e-05,4.272417372582347,TDR124,30,neural_posterior,filtered
klf17,hbbe1.1,0.060826004,0.060826004,1.1095949779604367e-15,14.954835517552116,TDR124,30,neural_posterior,filtered
raraa,tenm4,0.060361084,0.060361084,2.686504556030433e-07,6.570812418576695,TDR124,30,neural_posterior,filtered
six3b,serbp1a,0.05979128,0.05979128,1.5723854298962547e-08,7.803440989111026,TDR124,30,neural_posterior,filtered
rx1,fabp11a,0.05938412,0.05938412,1.9074175571487335e-18,17.719554224145895,TDR124,30,neural_posterior,filtered
gata1a,cpox,0.05917036,0.05917036,9.324254736624283e-05,4.030385870157998,TDR124,30,neural_posterior,filtered
sox21a,ptmab,0.059059653,0.059059653,1.223438585275297e-07,6.912417826676298,TDR124,30,neural_posterior,filtered
zic2a,actb2,0.058911573,0.058911573,5.024140158617632e-06,5.298938253573175,TDR124,30,neural_posterior,filtered
six1b,actb2,0.058650028,0.058650028,4.504854913587606e-10,9.34631919164229,TDR124,30,neural_posterior,filtered
gata5,tenm4,-0.058203883,0.058203883,1.1816589255586415e-06,5.927507860276609,TDR124,30,neural_posterior,filtered
sox5,actc1b,0.05809783,0.05809783,5.571348171792983e-13,12.254039700208018,TDR124,30,neural_posterior,filtered
lmx1bb,ntn1a,0.05787991,0.05787991,2.4890303156226634e-09,8.60396981378616,TDR124,30,neural_posterior,filtered
en2b,ptmaa,0.05783015,0.05783015,4.922157227062183e-08,7.307844517867078,TDR124,30,neural_posterior,filtered
rx1,pcna,0.05730573,0.05730573,7.480111924245996e-12,11.126091903777414,TDR124,30,neural_posterior,filtered
gata1a,tenm4,-0.05711647,0.05711647,1.3997524256863454e-07,6.85394877122624,TDR124,30,neural_posterior,filtered
foxp1b,rnf220a,0.05703928,0.05703928,5.4352897010840784e-14,13.26477730305346,TDR124,30,neural_posterior,filtered
foxa,actb2,0.057010274,0.057010274,9.335102902123277e-15,14.029880890400708,TDR124,30,neural_posterior,filtered
jun,stmn1a,0.056761593,0.056761593,3.456988513158995e-11,10.46130206352382,TDR124,30,neural_posterior,filtered
hoxb3a,rnf220a,0.0566262,0.0566262,4.977179558574016e-11,10.303016691204698,TDR124,30,neural_posterior,filtered
rx1,hmga1a,0.056449138,0.056449138,2.733090992462161e-12,11.56334590915389,TDR124,30,neural_posterior,filtered
myog,myl1,0.05621307,0.05621307,1.4808164616299302e-10,9.829498766354488,TDR124,30,neural_posterior,filtered
hoxb3a,ptprfb,0.055858333,0.055858333,4.461689768191516e-12,11.3505006305216,TDR124,30,neural_posterior,filtered
sox21a,si:ch73-21g5.7,0.055853806,0.055853806,1.2132909831972203e-11,10.916035029931662,TDR124,30,neural_posterior,filtered
sox6,robo1,0.055370104,0.055370104,2.0404618048087144e-13,12.690271530327644,TDR124,30,neural_posterior,filtered
sox11b,ube2c,0.055196617,0.055196617,6.0381338350758055e-18,17.219097265080602,TDR124,30,neural_posterior,filtered
mef2aa,pax3a,0.055096686,0.055096686,4.077468339332571e-09,8.389609402478133,TDR124,30,neural_posterior,filtered
sox11b,mki67,0.05479447,0.05479447,1.9749875407519336e-13,12.704435639784231,TDR124,30,neural_posterior,filtered
nr2f1b,kirrel3l,0.05435836,0.05435836,6.101684167241731e-17,16.2145502758765,TDR124,30,neural_posterior,filtered
six3b,hspa8,0.054348383,0.054348383,2.834532978862515e-12,11.54751848576961,TDR124,30,neural_posterior,filtered
hmx4,fabp7a,0.05422945,0.05422945,7.232046064252639e-13,12.14073881630108,TDR124,30,neural_posterior,filtered
sox6,stmn1a,-0.053994704,0.053994704,1.3070382433866042e-08,7.883711704960554,TDR124,30,neural_posterior,filtered
hmx3a,tenm4,-0.053954102,0.053954102,2.2240501105510337e-09,8.652855431797432,TDR124,30,neural_posterior,filtered
klf3,cntfr,0.053912897,0.053912897,4.326123218407379e-12,11.363901114968057,TDR124,30,neural_posterior,filtered
her9,pabpc1a,0.053143345,0.053143345,2.732740074944052e-07,6.563401674339476,TDR124,30,neural_posterior,filtered
rx1,nop58,0.052881766,0.052881766,7.993987855823413e-14,13.097236515839848,TDR124,30,neural_posterior,filtered
mafbb,hbae1.1,0.05279549,0.05279549,9.659115315859118e-13,12.015062649053993,TDR124,30,neural_posterior,filtered
rx1,tmsb4x,0.05255136,0.05255136,5.013610297541314e-12,11.299849426302186,TDR124,30,neural_posterior,filtered
six3b,tenm4,0.05237559,0.05237559,8.557853925693083e-07,6.067635130776468,TDR124,30,neural_posterior,filtered
hoxc3a,hoxb3a,0.052169163,0.052169163,2.8222483963414307e-15,14.549404765063267,TDR124,30,neural_posterior,filtered
sox6,serbp1a,-0.051979527,0.051979527,6.739683019604714e-09,8.171360528698177,TDR124,30,neural_posterior,filtered
hmga1a,nap1l1,0.05190715,0.05190715,3.092089465878799e-15,14.509747948784964,TDR124,30,neural_posterior,filtered
nkx2.2a,ntn1a,0.05189297,0.05189297,8.034263793599195e-14,13.095053912930002,TDR124,30,neural_posterior,filtered
nr2f1b,cntfr,0.051782373,0.051782373,1.7620422765064853e-07,6.753983675814312,TDR124,30,neural_posterior,filtered
meis2a,si:ch73-21g5.7,0.051769033,0.051769033,7.002884784627732e-12,11.154723018848642,TDR124,30,neural_posterior,filtered
sox21a,her15.2,0.05173295,0.05173295,6.308677423328753e-17,16.20006167846656,TDR124,30,neural_posterior,filtered
hoxa2b,hmga1a,0.051609527,0.051609527,4.5646382680965725e-14,13.340593633111975,TDR124,30,neural_posterior,filtered
pbx1b,fthl27,0.05158338,0.05158338,2.3700767622601376e-11,10.62523758779322,TDR124,30,neural_posterior,filtered
tp53,nop56,0.051474992,0.051474992,3.557083734632139e-11,10.448905911294217,TDR124,30,neural_posterior,filtered
rx1,ptmaa,0.05146307,0.05146307,1.2290929123903581e-10,9.910415285695134,TDR124,30,neural_posterior,filtered
rxraa,pax3a,0.051430564,0.051430564,2.056808948937647e-15,14.686806046796066,TDR124,30,neural_posterior,filtered
fli1b,pax3a,0.05129189,0.05129189,5.528370803396215e-13,12.25740283530316,TDR124,30,neural_posterior,filtered
hmga1a,npm1a,0.051054154,0.051054154,2.0183391212394414e-12,11.695005861830808,TDR124,30,neural_posterior,filtered
hmga1a,qkia,0.050890304,0.050890304,8.349147507554986e-11,10.078357866033219,TDR124,30,neural_posterior,filtered
meis2a,tenm4,0.050634593,0.050634593,1.539725184744318e-07,6.812556786565817,TDR124,30,neural_posterior,filtered
myog,tnni2b.1,0.050410327,0.050410327,3.08183036663555e-09,8.511191269855635,TDR124,30,neural_posterior,filtered
sox11b,hspa8,0.05037227,0.05037227,4.9931071355653316e-11,10.301629115321685,TDR124,30,neural_posterior,filtered
pax6a,pcdh19,0.050337687,0.050337687,1.1982250589587993e-10,9.921461602076878,TDR124,30,neural_posterior,filtered
hmga1a,metap2b,0.050326776,0.050326776,3.4026446151402495e-17,16.468183407866658,TDR124,30,neural_posterior,filtered
mafbb,hbae1.3,0.050297033,0.050297033,4.7897152798433955e-15,14.31969030204849,TDR124,30,neural_posterior,filtered
sox11b,serbp1a,0.050146304,0.050146304,1.885522153386297e-09,8.72456836061349,TDR124,30,neural_posterior,filtered
sox11b,aspm,0.049929786,0.049929786,1.7396701936151855e-13,12.759533077389364,TDR124,30,neural_posterior,filtered
hoxc3a,cntfr,-0.04953287,0.04953287,1.4694565688218004e-07,6.832843245385702,TDR124,30,neural_posterior,filtered
thrab,apoc1,-0.049508076,0.049508076,2.971218076105931e-09,8.527065471463349,TDR124,30,neural_posterior,filtered
nr2f1b,pax6a,0.049458835,0.049458835,5.051248954623512e-15,14.296601226428294,TDR124,30,neural_posterior,filtered
klf17,actb1,0.049457356,0.049457356,3.2064290275390746e-13,12.493978368498736,TDR124,30,neural_posterior,filtered
hoxa4a,tenm4,-0.04932791,0.04932791,1.1336646039944429e-07,6.9455154129733385,TDR124,30,neural_posterior,filtered
msx1b,fthl27,0.048832133,0.048832133,7.368093489116687e-11,10.132644872285976,TDR124,30,neural_posterior,filtered
jun,hbae1.1,0.048102953,0.048102953,1.866406190230729e-10,9.728993833805715,TDR124,30,neural_posterior,filtered
her6,cntfr,0.047832236,0.047832236,1.218332755837919e-10,9.914234079283347,TDR124,30,neural_posterior,filtered
sox11b,hmga1a,0.04756602,0.04756602,3.2706436941437714e-11,10.485366765595517,TDR124,30,neural_posterior,filtered
meis3,prdx2,-0.04735282,0.04735282,5.161835714661239e-13,12.287195821828467,TDR124,30,neural_posterior,filtered
nr2f1b,ntn1a,0.047295593,0.047295593,1.3050819564632805e-07,6.884362214668885,TDR124,30,neural_posterior,filtered
sox11b,kpna2,0.04722704,0.04722704,7.466342491543669e-15,14.12689209225917,TDR124,30,neural_posterior,filtered
tcf21,apoc1,0.047213294,0.047213294,6.405701768269383e-10,9.193433284749617,TDR124,30,neural_posterior,filtered
pax6a,ncam1b,0.046984367,0.046984367,3.148953111694994e-10,9.501833806014373,TDR124,30,neural_posterior,filtered
rx1,pabpc1a,0.04680054,0.04680054,5.811179346679581e-10,9.235735721003946,TDR124,30,neural_posterior,filtered
neurod4,elavl3,0.046714645,0.046714645,5.561271340212454e-17,16.25482591472671,TDR124,30,neural_posterior,filtered
sox21a,fthl27,0.046707198,0.046707198,9.297438833278567e-10,9.031636670130267,TDR124,30,neural_posterior,filtered
msx1b,cntfr,-0.046595383,0.046595383,3.9213202004318666e-10,9.40656769337873,TDR124,30,neural_posterior,filtered
hoxa2b,fthl27,0.046453957,0.046453957,1.1449376924767084e-09,8.941218146992068,TDR124,30,neural_posterior,filtered
pax6a,ek1,0.046347134,0.046347134,3.3206711137812126e-22,21.47877413570635,TDR124,30,neural_posterior,filtered
meox1,hbbe1.3,0.046336364,0.046336364,7.93980209412316e-12,11.100190322573082,TDR124,30,neural_posterior,filtered
rx1,nop56,0.04597692,0.04597692,9.198263307536339e-09,8.036294162562227,TDR124,30,neural_posterior,filtered
