"","degree_all","degree_in","degree_out","clustering_coefficient","clustering_coefficient_weighted","degree_centrality_all","degree_centrality_in","degree_centrality_out","betweenness_centrality","closeness_centrality","eigenvector_centrality","page_rank","assortative_coefficient","average_path_length","community_random_walk","module","connectivity","participation","role"
"hmga1a",89,29,60,0.090884790163058,0.104645827510187,0.211904761904762,0.0690476190476191,0.142857142857143,3219,0.232632250868159,1,0.00428718758591849,-0.102579097071177,0.0516736331281503,1,5,4.21660129615849,0.606685163165544,"Connector Hub"
"rfx4",14,0,14,0,0,0.0333333333333333,0,0.0333333333333333,0,2.0427850460274,0.0330349444866967,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,1.67267488005903,0.336734693877551,"Peripheral"
"myog",23,0,23,0.0316205533596838,0.0283216639341956,0.0547619047619048,0,0.0547619047619048,0,0.174877077302239,0.129838453376594,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,3,2.7282410027474,0.722117202268431,"Connector Hub"
"irx3a",82,0,82,0.023486901535682,0.0221803207860614,0.195238095238095,0,0.195238095238095,0,0.153468196951138,0.519664680836101,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,5.48632504234927,0.693932183224271,"Connector Hub"
"rx1",73,0,73,0.0194063926940639,0.0165671484196877,0.173809523809524,0,0.173809523809524,0,0.188559586543449,0.622470481537506,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,3.25025022987707,0.620003753049353,"Connector Hub"
"sox21a",49,2,47,0.0372340425531915,0.0379780852291785,0.116666666666667,0.00476190476190476,0.111904761904762,554,0.171262200378771,0.504412863424116,0.00167266917942699,-0.102579097071177,0.0516736331281503,1,5,1.31754809731424,0.681423611111111,"Connector"
"rxraa",15,1,14,0.0666666666666667,0.0674713294834616,0.0357142857142857,0.00238095238095238,0.0333333333333333,18,0.146516876317136,0.0533645524664527,0.00164014889162585,-0.102579097071177,0.0516736331281503,2,2,1.67267488005903,0.417777777777778,"Peripheral"
"dlx2b",8,0,8,0,0,0.019047619047619,0,0.019047619047619,0,4.70305416855042,0.0358854645656475,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-0.228596876764554,0.6875,"Connector"
"pax6b",35,0,35,0.0369747899159664,0.0370532615670101,0.0833333333333333,0,0.0833333333333333,0,0.147807998455305,0.283673694628662,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,0.888058734522504,0.615510204081633,"Peripheral"
"tbx2a",13,0,13,0,0,0.030952380952381,0,0.030952380952381,0,2.61649590882345,0.0834106770223327,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,1,0.408013056626722,0.781065088757396,"Connector"
"rorb",5,0,5,0,0,0.0119047619047619,0,0.0119047619047619,0,7.5996966778663,0.0199376786264394,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.542986618561115,0.72,"Connector"
"tp53",9,0,9,0.0555555555555556,0.0608823901120708,0.0214285714285714,0,0.0214285714285714,0,0.14069333232675,0.0585032775327464,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,4,-3.96155816289789e-16,0.691358024691358,"Connector"
"en2b",50,2,48,0.0391156462585034,0.0461397227311636,0.119047619047619,0.00476190476190476,0.114285714285714,1442,0.246425396507525,0.288433085101342,0.00184737148513093,-0.102579097071177,0.0516736331281503,1,5,1.96178214150185,0.564764681382757,"Peripheral"
"foxd1",26,0,26,0,0,0.0619047619047619,0,0.0619047619047619,0,1.68600549532922,0.126628588582037,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,0.351197031032829,0.606508875739645,"Peripheral"
"pknox2",11,0,11,0,0,0.0261904761904762,0,0.0261904761904762,0,0.953379042176267,0.0405768189085559,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,0.687936436227854,0.528925619834711,"Peripheral"
"sox1b",10,0,10,0,0,0.0238095238095238,0,0.0238095238095238,0,4.16051896249921,0.04825785697477,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,2,0.195567214312267,0.62,"Connector"
"nr2f1b",31,0,31,0.0150537634408602,0.0146146522681796,0.0738095238095238,0,0.0738095238095238,0,0.130092653658325,0.0716538398972811,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,3.64215176772138,0.58480749219563,"Connector Hub"
"sp9",2,0,2,0,0,0.00476190476190476,0,0.00476190476190476,0,14.8117438465906,0.00581585146482837,0.00161186507332249,-0.102579097071177,0.0516736331281503,2,2,-0.542986618561115,0,"Ultra peripheral"
"sox6",14,2,12,0.021978021978022,0.0215839569877021,0.0333333333333333,0.00476190476190476,0.0285714285714286,22,3.96578844387331,0.033807101590578,0.00185104649246778,-0.102579097071177,0.0516736331281503,1,0,1.16449888572296,0.683673469387755,"Connector"
"hmx4",44,0,44,0.0211416490486258,0.0222764227154947,0.104761904761905,0,0.104761904761905,0,0.180309999968887,0.311185653096546,0.00161186507332249,-0.102579097071177,0.0516736331281503,1,5,1.53229277871011,0.583677685950413,"Peripheral"
